id,from_account_id,to_account_id,amount,txn_date,data_source,created_at
TX000018,AC000282,AC000367,2668000,2026-02-27T18:53:04Z,SYNTHETIC,2026-09-07T05:25:48.935395Z
TX000019,AC000003,AC000367,3000000,2026-03-03T03:41:10Z,SYNTHETIC,2026-09-07T05:25:48.935402Z
TX000020,AC000003,AC000282,1900000,2026-05-07T23:56:33Z,SYNTHETIC,2026-09-07T05:25:48.935413Z
TX000021,AC000282,AC000367,1748000,2026-05-07T23:56:33Z,SYNTHETIC,2026-09-07T05:25:48.935417Z
TX000022,AC000003,AC000282,700000,2026-07-26T05:08:52Z,SYNTHETIC,2026-09-07T05:25:48.935423Z
TX000023,AC000282,AC000367,644000,2026-07-26T05:08:52Z,SYNTHETIC,2026-09-07T05:25:48.935427Z
TX000024,AC000003,AC000367,400000,2026-08-29T00:47:10Z,SYNTHETIC,2026-09-07T05:25:48.935433Z
TX000025,AC000004,AC000380,2800000,2024-01-01T13:30:58Z,SYNTHETIC,2026-09-07T05:25:48.935482Z
TX000026,AC000004,AC000380,400000,2024-01-19T11:40:02Z,SYNTHETIC,2026-09-07T05:25:48.935497Z
TX000027,AC000004,AC000171,2400000,2024-04-08T05:50:09Z,SYNTHETIC,2026-09-07T05:25:48.935504Z
TX000028,AC000171,AC000380,2208000,2024-04-08T05:50:09Z,SYNTHETIC,2026-09-07T05:25:48.935508Z
TX000029,AC000004,AC000380,2000000,2024-04-09T23:05:45Z,SYNTHETIC,2026-09-07T05:25:48.935514Z
TX000030,AC000004,AC000380,1600000,2025-09-23T02:12:57Z,SYNTHETIC,2026-09-07T05:25:48.935521Z
TX000031,AC000004,AC000171,1900000,2025-11-22T08:02:54Z,SYNTHETIC,2026-09-07T05:25:48.935527Z
TX000032,AC000171,AC000380,1748000,2025-11-22T08:02:54Z,SYNTHETIC,2026-09-07T05:25:48.935531Z
TX000033,AC000004,AC000171,2200000,2026-05-16T03:53:14Z,SYNTHETIC,2026-09-07T05:25:48.935537Z
TX000034,AC000171,AC000380,2024000,2026-05-16T03:53:14Z,SYNTHETIC,2026-09-07T05:25:48.935541Z
TX000035,AC000004,AC000380,2300000,2026-06-09T12:09:28Z,SYNTHETIC,2026-09-07T05:25:48.935548Z
TX000036,AC000004,AC000171,1500000,2026-07-18T00:56:23Z,SYNTHETIC,2026-09-07T05:25:48.935555Z
TX000037,AC000171,AC000380,1380000,2026-07-18T00:56:23Z,SYNTHETIC,2026-09-07T05:25:48.935559Z
TX000038,AC000023,AC000371,2100000,2024-02-27T03:05:29Z,SYNTHETIC,2026-09-07T05:25:48.935619Z
TX000039,AC000023,AC000371,800000,2024-05-03T05:19:18Z,SYNTHETIC,2026-09-07T05:25:48.935628Z
TX000040,AC000023,AC000371,1600000,2024-06-25T16:55:00Z,SYNTHETIC,2026-09-07T05:25:48.935631Z
TX000041,AC000023,AC000371,1500000,2024-08-21T13:16:09Z,SYNTHETIC,2026-09-07T05:25:48.935635Z
TX000042,AC000023,AC000371,1400000,2024-09-02T01:46:59Z,SYNTHETIC,2026-09-07T05:25:48.935638Z
TX000043,AC000023,AC000104,2600000,2024-09-06T12:30:34Z,SYNTHETIC,2026-09-07T05:25:48.935642Z
TX000044,AC000104,AC000371,2392000,2024-09-06T12:30:34Z,SYNTHETIC,2026-09-07T05:25:48.935644Z
TX000045,AC000023,AC000104,2900000,2024-11-08T11:05:47Z,SYNTHETIC,2026-09-07T05:25:48.935648Z
TX000046,AC000104,AC000371,2668000,2024-11-08T11:05:47Z,SYNTHETIC,2026-09-07T05:25:48.935650Z
TX000047,AC000023,AC000371,1300000,2024-11-26T22:58:38Z,SYNTHETIC,2026-09-07T05:25:48.935654Z
TX000048,AC000023,AC000371,2600000,2025-09-20T10:21:45Z,SYNTHETIC,2026-09-07T05:25:48.935657Z
TX000049,AC000023,AC000371,2200000,2025-09-27T13:21:27Z,SYNTHETIC,2026-09-07T05:25:48.935661Z
TX000050,AC000023,AC000371,2600000,2026-03-09T21:36:40Z,SYNTHETIC,2026-09-07T05:25:48.935666Z
TX000051,AC000023,AC000104,2300000,2026-04-12T11:20:52Z,SYNTHETIC,2026-09-07T05:25:48.935670Z
TX000052,AC000104,AC000371,2116000,2026-04-12T11:20:52Z,SYNTHETIC,2026-09-07T05:25:48.935672Z
TX000053,AC000023,AC000371,1700000,2026-05-22T11:25:37Z,SYNTHETIC,2026-09-07T05:25:48.935675Z
TX000054,AC000023,AC000371,2700000,2026-06-11T03:14:52Z,SYNTHETIC,2026-09-07T05:25:48.935678Z
TX000055,AC000023,AC000104,1000000,2026-07-15T03:12:02Z,SYNTHETIC,2026-09-07T05:25:48.935682Z
TX000056,AC000104,AC000371,920000,2026-07-15T03:12:02Z,SYNTHETIC,2026-09-07T05:25:48.935684Z
TX000057,AC000023,AC000371,800000,2026-08-06T03:39:03Z,SYNTHETIC,2026-09-07T05:25:48.935687Z
TX000058,AC000024,AC000379,1900000,2024-02-18T11:22:24Z,SYNTHETIC,2026-09-07T05:25:48.935716Z
TX000059,AC000024,AC000125,1500000,2024-05-05T21:05:31Z,SYNTHETIC,2026-09-07T05:25:48.935726Z
TX000060,AC000125,AC000379,1380000,2024-05-05T21:05:31Z,SYNTHETIC,2026-09-07T05:25:48.935728Z
TX000061,AC000024,AC000125,2600000,2024-07-01T22:49:29Z,SYNTHETIC,2026-09-07T05:25:48.935731Z
TX000062,AC000125,AC000379,2392000,2024-07-01T22:49:29Z,SYNTHETIC,2026-09-07T05:25:48.935733Z
TX000063,AC000024,AC000125,2200000,2025-01-20T15:44:25Z,SYNTHETIC,2026-09-07T05:25:48.935737Z
TX000064,AC000125,AC000379,2024000,2025-01-20T15:44:25Z,SYNTHETIC,2026-09-07T05:25:48.935739Z
TX000065,AC000024,AC000379,1000000,2025-03-28T08:39:44Z,SYNTHETIC,2026-09-07T05:25:48.935742Z
TX000066,AC000024,AC000379,2400000,2025-05-01T20:58:09Z,SYNTHETIC,2026-09-07T05:25:48.935746Z
TX000067,AC000024,AC000379,1700000,2025-05-16T19:24:29Z,SYNTHETIC,2026-09-07T05:25:48.935750Z
TX000068,AC000024,AC000379,2000000,2025-11-10T23:46:28Z,SYNTHETIC,2026-09-07T05:25:48.935753Z
TX000069,AC000024,AC000379,3000000,2026-02-24T03:15:03Z,SYNTHETIC,2026-09-07T05:25:48.935756Z
TX000070,AC000024,AC000379,2500000,2026-06-15T16:07:48Z,SYNTHETIC,2026-09-07T05:25:48.935760Z
TX000071,AC000024,AC000379,1700000,2026-07-10T11:39:43Z,SYNTHETIC,2026-09-07T05:25:48.935765Z
TX000072,AC000024,AC000125,2100000,2026-08-15T02:34:09Z,SYNTHETIC,2026-09-07T05:25:48.935768Z
TX000073,AC000125,AC000379,1932000,2026-08-15T02:34:09Z,SYNTHETIC,2026-09-07T05:25:48.935770Z
TX000074,AC000025,AC000365,400000,2024-04-01T13:25:47Z,SYNTHETIC,2026-09-07T05:25:48.935806Z
TX000075,AC000025,AC000219,2900000,2024-08-29T18:39:45Z,SYNTHETIC,2026-09-07T05:25:48.935816Z
TX000076,AC000219,AC000365,2668000,2024-08-29T18:39:45Z,SYNTHETIC,2026-09-07T05:25:48.935818Z
TX000077,AC000025,AC000219,1900000,2024-11-11T16:30:15Z,SYNTHETIC,2026-09-07T05:25:48.935822Z
TX000078,AC000219,AC000365,1748000,2024-11-11T16:30:15Z,SYNTHETIC,2026-09-07T05:25:48.935825Z
TX000079,AC000025,AC000219,1600000,2024-12-10T21:09:17Z,SYNTHETIC,2026-09-07T05:25:48.935828Z
TX000080,AC000219,AC000365,1472000,2024-12-10T21:09:17Z,SYNTHETIC,2026-09-07T05:25:48.935832Z
TX000081,AC000025,AC000365,2900000,2024-12-23T03:58:30Z,SYNTHETIC,2026-09-07T05:25:48.935836Z
TX000082,AC000025,AC000219,2000000,2025-02-06T22:42:20Z,SYNTHETIC,2026-09-07T05:25:48.935839Z
TX000083,AC000219,AC000365,1840000,2025-02-06T22:42:20Z,SYNTHETIC,2026-09-07T05:25:48.935841Z
TX000084,AC000025,AC000365,2900000,2025-03-20T06:17:41Z,SYNTHETIC,2026-09-07T05:25:48.935845Z
TX000085,AC000025,AC000365,2200000,2025-04-04T15:46:31Z,SYNTHETIC,2026-09-07T05:25:48.935848Z
TX000086,AC000025,AC000365,2200000,2025-04-15T15:02:45Z,SYNTHETIC,2026-09-07T05:25:48.935852Z
TX000087,AC000025,AC000365,1100000,2025-08-02T16:40:32Z,SYNTHETIC,2026-09-07T05:25:48.935855Z
TX000088,AC000025,AC000365,1300000,2025-09-17T19:33:58Z,SYNTHETIC,2026-09-07T05:25:48.935858Z
TX000089,AC000025,AC000365,1500000,2025-10-05T07:40:01Z,SYNTHETIC,2026-09-07T05:25:48.935861Z
TX000090,AC000025,AC000365,1900000,2025-10-29T23:34:03Z,SYNTHETIC,2026-09-07T05:25:48.935865Z
TX000091,AC000025,AC000365,1800000,2025-11-26T03:30:27Z,SYNTHETIC,2026-09-07T05:25:48.935868Z
TX000092,AC000025,AC000219,2300000,2026-08-22T14:01:31Z,SYNTHETIC,2026-09-07T05:25:48.935871Z
TX000093,AC000219,AC000365,2116000,2026-08-22T14:01:31Z,SYNTHETIC,2026-09-07T05:25:48.935875Z
TX000094,AC000026,AC000367,1400000,2024-06-22T12:14:35Z,SYNTHETIC,2026-09-07T05:25:48.935900Z
TX000095,AC000026,AC000367,1400000,2024-08-05T23:02:10Z,SYNTHETIC,2026-09-07T05:25:48.935907Z
TX000096,AC000026,AC000367,2300000,2024-08-12T14:01:21Z,SYNTHETIC,2026-09-07T05:25:48.935911Z
TX000097,AC000026,AC000367,1700000,2025-02-17T01:29:51Z,SYNTHETIC,2026-09-07T05:25:48.935914Z
TX000098,AC000026,AC000367,2400000,2025-02-24T19:30:49Z,SYNTHETIC,2026-09-07T05:25:48.935918Z
TX000099,AC000026,AC000181,1900000,2025-03-21T03:36:54Z,SYNTHETIC,2026-09-07T05:25:48.935921Z
TX000100,AC000181,AC000367,1748000,2025-03-21T03:36:54Z,SYNTHETIC,2026-09-07T05:25:48.935923Z
TX000101,AC000026,AC000367,600000,2025-09-09T00:53:48Z,SYNTHETIC,2026-09-07T05:25:48.935927Z
TX000102,AC000026,AC000367,2000000,2025-10-09T07:19:56Z,SYNTHETIC,2026-09-07T05:25:48.935930Z
TX000103,AC000026,AC000367,1500000,2025-12-02T04:39:36Z,SYNTHETIC,2026-09-07T05:25:48.935933Z
TX000104,AC000027,AC000371,1500000,2024-01-16T00:13:15Z,SYNTHETIC,2026-09-07T05:25:48.935965Z
TX000105,AC000027,AC000035,2300000,2024-02-17T09:27:54Z,SYNTHETIC,2026-09-07T05:25:48.935973Z
TX000106,AC000035,AC000371,2116000,2024-02-17T09:27:54Z,SYNTHETIC,2026-09-07T05:25:48.935975Z
TX000107,AC000027,AC000371,2500000,2024-05-01T21:05:33Z,SYNTHETIC,2026-09-07T05:25:48.935980Z
TX000108,AC000027,AC000035,2300000,2024-05-11T00:10:26Z,SYNTHETIC,2026-09-07T05:25:48.935986Z
TX000109,AC000035,AC000371,2116000,2024-05-11T00:10:26Z,SYNTHETIC,2026-09-07T05:25:48.935989Z
TX000110,AC000027,AC000035,1100000,2024-06-09T13:45:46Z,SYNTHETIC,2026-09-07T05:25:48.935997Z
TX000111,AC000035,AC000371,1012000,2024-06-09T13:45:46Z,SYNTHETIC,2026-09-07T05:25:48.936001Z
TX000112,AC000027,AC000371,1000000,2024-06-16T12:37:05Z,SYNTHETIC,2026-09-07T05:25:48.936007Z
TX000113,AC000027,AC000371,1400000,2024-10-10T16:47:04Z,SYNTHETIC,2026-09-07T05:25:48.936014Z
TX000114,AC000027,AC000371,1200000,2024-11-03T17:25:00Z,SYNTHETIC,2026-09-07T05:25:48.936020Z
TX000115,AC000027,AC000035,1000000,2024-12-06T05:11:38Z,SYNTHETIC,2026-09-07T05:25:48.936025Z
TX000116,AC000035,AC000371,920000,2024-12-06T05:11:38Z,SYNTHETIC,2026-09-07T05:25:48.936028Z
TX000117,AC000027,AC000371,1800000,2025-01-01T23:27:39Z,SYNTHETIC,2026-09-07T05:25:48.936034Z
TX000118,AC000027,AC000035,2300000,2025-03-31T22:22:25Z,SYNTHETIC,2026-09-07T05:25:48.936039Z
TX000119,AC000035,AC000371,2116000,2025-03-31T22:22:25Z,SYNTHETIC,2026-09-07T05:25:48.936043Z
TX000120,AC000027,AC000371,1100000,2025-06-24T05:24:48Z,SYNTHETIC,2026-09-07T05:25:48.936048Z
TX000121,AC000027,AC000035,2200000,2025-08-23T07:52:55Z,SYNTHETIC,2026-09-07T05:25:48.936054Z
TX000122,AC000035,AC000371,2024000,2025-08-23T07:52:55Z,SYNTHETIC,2026-09-07T05:25:48.936057Z
TX000123,AC000027,AC000371,2400000,2025-09-21T12:08:19Z,SYNTHETIC,2026-09-07T05:25:48.936062Z
TX000124,AC000040,AC000385,600000,2024-02-14T09:46:08Z,SYNTHETIC,2026-09-07T05:25:48.936120Z
TX000125,AC000040,AC000385,800000,2024-04-07T15:32:58Z,SYNTHETIC,2026-09-07T05:25:48.936129Z
TX000126,AC000040,AC000385,700000,2024-05-20T21:44:40Z,SYNTHETIC,2026-09-07T05:25:48.936133Z
TX000127,AC000040,AC000385,500000,2024-06-03T04:36:09Z,SYNTHETIC,2026-09-07T05:25:48.936136Z
TX000128,AC000040,AC000385,2800000,2024-06-05T03:33:17Z,SYNTHETIC,2026-09-07T05:25:48.936140Z
TX000129,AC000040,AC000329,500000,2024-06-26T23:27:08Z,SYNTHETIC,2026-09-07T05:25:48.936143Z
TX000130,AC000329,AC000385,460000,2024-06-26T23:27:08Z,SYNTHETIC,2026-09-07T05:25:48.936146Z
TX000131,AC000040,AC000385,700000,2024-08-16T00:58:03Z,SYNTHETIC,2026-09-07T05:25:48.936149Z
TX000132,AC000040,AC000385,2500000,2024-09-02T21:12:10Z,SYNTHETIC,2026-09-07T05:25:48.936154Z
TX000133,AC000040,AC000385,1500000,2025-05-02T14:14:15Z,SYNTHETIC,2026-09-07T05:25:48.936157Z
TX000134,AC000040,AC000329,1500000,2025-05-03T11:25:54Z,SYNTHETIC,2026-09-07T05:25:48.936161Z
TX000135,AC000329,AC000385,1380000,2025-05-03T11:25:54Z,SYNTHETIC,2026-09-07T05:25:48.936163Z
TX000136,AC000040,AC000329,400000,2025-06-30T09:29:27Z,SYNTHETIC,2026-09-07T05:25:48.936167Z
TX000137,AC000329,AC000385,368000,2025-06-30T09:29:27Z,SYNTHETIC,2026-09-07T05:25:48.936169Z
TX000138,AC000040,AC000329,1600000,2025-09-26T06:08:58Z,SYNTHETIC,2026-09-07T05:25:48.936172Z
TX000139,AC000329,AC000385,1472000,2025-09-26T06:08:58Z,SYNTHETIC,2026-09-07T05:25:48.936174Z
TX000140,AC000040,AC000385,2100000,2025-11-06T06:41:40Z,SYNTHETIC,2026-09-07T05:25:48.936178Z
TX000141,AC000040,AC000329,1300000,2025-12-06T21:21:20Z,SYNTHETIC,2026-09-07T05:25:48.936183Z
TX000142,AC000329,AC000385,1196000,2025-12-06T21:21:20Z,SYNTHETIC,2026-09-07T05:25:48.936185Z
TX000143,AC000040,AC000329,2900000,2026-03-07T23:33:33Z,SYNTHETIC,2026-09-07T05:25:48.936189Z
TX000144,AC000329,AC000385,2668000,2026-03-07T23:33:33Z,SYNTHETIC,2026-09-07T05:25:48.936191Z
TX000145,AC000040,AC000385,1100000,2026-07-19T14:58:26Z,SYNTHETIC,2026-09-07T05:25:48.936194Z
TX000146,AC000041,AC000370,2600000,2024-03-20T22:08:00Z,SYNTHETIC,2026-09-07T05:25:48.936226Z
TX000147,AC000041,AC000370,900000,2024-07-14T10:27:22Z,SYNTHETIC,2026-09-07T05:25:48.936237Z
TX000148,AC000041,AC000370,900000,2024-09-13T05:03:29Z,SYNTHETIC,2026-09-07T05:25:48.936242Z
TX000149,AC000041,AC000370,900000,2024-11-12T05:30:15Z,SYNTHETIC,2026-09-07T05:25:48.936247Z
TX000150,AC000041,AC000370,2300000,2024-11-22T09:51:58Z,SYNTHETIC,2026-09-07T05:25:48.936252Z
TX000151,AC000041,AC000175,2800000,2024-12-20T14:50:01Z,SYNTHETIC,2026-09-07T05:25:48.936258Z
TX000152,AC000175,AC000370,2576000,2024-12-20T14:50:01Z,SYNTHETIC,2026-09-07T05:25:48.936264Z
TX000153,AC000041,AC000370,2900000,2025-08-14T02:51:36Z,SYNTHETIC,2026-09-07T05:25:48.936272Z
TX000154,AC000041,AC000370,1900000,2025-12-17T13:33:14Z,SYNTHETIC,2026-09-07T05:25:48.936278Z
TX000155,AC000041,AC000370,500000,2026-03-19T07:47:22Z,SYNTHETIC,2026-09-07T05:25:48.936284Z
TX000156,AC000041,AC000370,1200000,2026-03-28T19:27:26Z,SYNTHETIC,2026-09-07T05:25:48.936290Z
TX000157,AC000041,AC000370,2700000,2026-05-12T18:00:43Z,SYNTHETIC,2026-09-07T05:25:48.936296Z
TX000158,AC000042,AC000318,2300000,2024-01-14T04:17:23Z,SYNTHETIC,2026-09-07T05:25:48.936360Z
TX000159,AC000318,AC000389,2116000,2024-01-14T04:17:23Z,SYNTHETIC,2026-09-07T05:25:48.936362Z
TX000160,AC000042,AC000318,1600000,2024-02-10T20:09:51Z,SYNTHETIC,2026-09-07T05:25:48.936373Z
TX000161,AC000318,AC000389,1472000,2024-02-10T20:09:51Z,SYNTHETIC,2026-09-07T05:25:48.936376Z
TX000162,AC000042,AC000389,600000,2024-04-30T02:16:06Z,SYNTHETIC,2026-09-07T05:25:48.936381Z
TX000163,AC000042,AC000318,1900000,2024-06-29T21:45:41Z,SYNTHETIC,2026-09-07T05:25:48.936386Z
TX000164,AC000318,AC000389,1748000,2024-06-29T21:45:41Z,SYNTHETIC,2026-09-07T05:25:48.936389Z
TX000165,AC000042,AC000389,1200000,2024-07-29T03:34:37Z,SYNTHETIC,2026-09-07T05:25:48.936394Z
TX000166,AC000042,AC000389,1800000,2024-08-02T16:03:23Z,SYNTHETIC,2026-09-07T05:25:48.936398Z
TX000167,AC000042,AC000318,2400000,2024-10-07T19:30:15Z,SYNTHETIC,2026-09-07T05:25:48.936403Z
TX000168,AC000318,AC000389,2208000,2024-10-07T19:30:15Z,SYNTHETIC,2026-09-07T05:25:48.936406Z
TX000169,AC000042,AC000389,2000000,2024-12-23T23:41:40Z,SYNTHETIC,2026-09-07T05:25:48.936411Z
TX000170,AC000042,AC000318,2700000,2024-12-27T10:57:54Z,SYNTHETIC,2026-09-07T05:25:48.936416Z
TX000171,AC000318,AC000389,2484000,2024-12-27T10:57:54Z,SYNTHETIC,2026-09-07T05:25:48.936425Z
TX000172,AC000042,AC000389,2400000,2025-01-23T04:34:33Z,SYNTHETIC,2026-09-07T05:25:48.936431Z
TX000173,AC000042,AC000389,2500000,2025-01-31T06:03:59Z,SYNTHETIC,2026-09-07T05:25:48.936436Z
TX000174,AC000042,AC000318,2800000,2025-06-28T12:02:53Z,SYNTHETIC,2026-09-07T05:25:48.936442Z
TX000175,AC000318,AC000389,2576000,2025-06-28T12:02:53Z,SYNTHETIC,2026-09-07T05:25:48.936446Z
TX000176,AC000042,AC000389,2400000,2025-08-24T06:16:56Z,SYNTHETIC,2026-09-07T05:25:48.936451Z
TX000177,AC000042,AC000389,2000000,2025-10-15T05:55:43Z,SYNTHETIC,2026-09-07T05:25:48.936456Z
TX000178,AC000042,AC000318,1100000,2025-11-14T05:48:49Z,SYNTHETIC,2026-09-07T05:25:48.936462Z
TX000179,AC000318,AC000389,1012000,2025-11-14T05:48:49Z,SYNTHETIC,2026-09-07T05:25:48.936465Z
TX000180,AC000042,AC000389,900000,2025-12-19T03:03:39Z,SYNTHETIC,2026-09-07T05:25:48.936470Z
TX000181,AC000042,AC000389,2600000,2026-03-30T18:35:21Z,SYNTHETIC,2026-09-07T05:25:48.936474Z
TX000182,AC000042,AC000318,600000,2026-08-04T16:08:40Z,SYNTHETIC,2026-09-07T05:25:48.936479Z
TX000183,AC000318,AC000389,552000,2026-08-04T16:08:40Z,SYNTHETIC,2026-09-07T05:25:48.936481Z
TX000184,AC000043,AC000374,700000,2024-02-06T02:24:19Z,SYNTHETIC,2026-09-07T05:25:48.936551Z
TX000185,AC000043,AC000374,3000000,2024-05-19T03:06:22Z,SYNTHETIC,2026-09-07T05:25:48.936564Z
TX000186,AC000043,AC000190,2400000,2024-06-07T19:17:11Z,SYNTHETIC,2026-09-07T05:25:48.936570Z
TX000187,AC000190,AC000374,2208000,2024-06-07T19:17:11Z,SYNTHETIC,2026-09-07T05:25:48.936574Z
TX000188,AC000043,AC000374,600000,2024-07-10T09:44:18Z,SYNTHETIC,2026-09-07T05:25:48.936580Z
TX000189,AC000043,AC000190,2300000,2024-08-28T12:49:40Z,SYNTHETIC,2026-09-07T05:25:48.936586Z
TX000190,AC000190,AC000374,2116000,2024-08-28T12:49:40Z,SYNTHETIC,2026-09-07T05:25:48.936590Z
TX000191,AC000043,AC000374,1600000,2024-11-15T00:02:34Z,SYNTHETIC,2026-09-07T05:25:48.936598Z
TX000192,AC000043,AC000374,600000,2024-12-24T18:10:23Z,SYNTHETIC,2026-09-07T05:25:48.936604Z
TX000193,AC000043,AC000190,700000,2025-03-16T14:06:00Z,SYNTHETIC,2026-09-07T05:25:48.936609Z
TX000194,AC000190,AC000374,644000,2025-03-16T14:06:00Z,SYNTHETIC,2026-09-07T05:25:48.936612Z
TX000195,AC000043,AC000374,2800000,2025-04-13T12:43:52Z,SYNTHETIC,2026-09-07T05:25:48.936618Z
TX000196,AC000043,AC000190,400000,2025-06-13T13:02:35Z,SYNTHETIC,2026-09-07T05:25:48.936624Z
TX000197,AC000190,AC000374,368000,2025-06-13T13:02:35Z,SYNTHETIC,2026-09-07T05:25:48.936627Z
TX000198,AC000043,AC000190,3000000,2025-08-11T18:31:57Z,SYNTHETIC,2026-09-07T05:25:48.936633Z
TX000199,AC000190,AC000374,2760000,2025-08-11T18:31:57Z,SYNTHETIC,2026-09-07T05:25:48.936636Z
TX000200,AC000043,AC000374,1300000,2025-09-19T14:45:19Z,SYNTHETIC,2026-09-07T05:25:48.936642Z
TX000201,AC000043,AC000190,1800000,2025-12-19T00:19:37Z,SYNTHETIC,2026-09-07T05:25:48.936648Z
TX000202,AC000190,AC000374,1656000,2025-12-19T00:19:37Z,SYNTHETIC,2026-09-07T05:25:48.936654Z
TX000203,AC000043,AC000374,2200000,2026-05-18T12:11:46Z,SYNTHETIC,2026-09-07T05:25:48.936659Z
TX000204,AC000055,AC000259,600000,2024-01-30T02:21:05Z,SYNTHETIC,2026-09-07T05:25:48.936726Z
TX000205,AC000259,AC000384,552000,2024-01-30T02:21:05Z,SYNTHETIC,2026-09-07T05:25:48.936729Z
TX000206,AC000055,AC000384,1500000,2024-03-28T12:35:16Z,SYNTHETIC,2026-09-07T05:25:48.936743Z
TX000207,AC000055,AC000384,1100000,2024-04-16T18:43:57Z,SYNTHETIC,2026-09-07T05:25:48.936748Z
TX000208,AC000055,AC000259,1700000,2024-06-21T15:56:08Z,SYNTHETIC,2026-09-07T05:25:48.936753Z
TX000209,AC000259,AC000384,1564000,2024-06-21T15:56:08Z,SYNTHETIC,2026-09-07T05:25:48.936756Z
TX000210,AC000055,AC000384,700000,2024-06-22T04:14:27Z,SYNTHETIC,2026-09-07T05:25:48.936762Z
TX000211,AC000055,AC000384,2600000,2024-08-06T00:07:47Z,SYNTHETIC,2026-09-07T05:25:48.936767Z
TX000212,AC000055,AC000384,900000,2024-09-19T07:43:49Z,SYNTHETIC,2026-09-07T05:25:48.936773Z
TX000213,AC000055,AC000384,2600000,2024-12-17T06:40:59Z,SYNTHETIC,2026-09-07T05:25:48.936778Z
TX000214,AC000055,AC000259,2500000,2025-03-29T15:27:20Z,SYNTHETIC,2026-09-07T05:25:48.936784Z
TX000215,AC000259,AC000384,2300000,2025-03-29T15:27:20Z,SYNTHETIC,2026-09-07T05:25:48.936787Z
TX000216,AC000055,AC000384,600000,2025-04-14T17:23:20Z,SYNTHETIC,2026-09-07T05:25:48.936792Z
TX000217,AC000055,AC000259,3000000,2025-04-20T02:12:18Z,SYNTHETIC,2026-09-07T05:25:48.936796Z
TX000218,AC000259,AC000384,2760000,2025-04-20T02:12:18Z,SYNTHETIC,2026-09-07T05:25:48.936800Z
TX000219,AC000055,AC000384,800000,2025-05-19T06:32:53Z,SYNTHETIC,2026-09-07T05:25:48.936805Z
TX000220,AC000055,AC000259,2600000,2025-06-20T00:00:11Z,SYNTHETIC,2026-09-07T05:25:48.936810Z
TX000221,AC000259,AC000384,2392000,2025-06-20T00:00:11Z,SYNTHETIC,2026-09-07T05:25:48.936813Z
TX000222,AC000055,AC000384,1200000,2025-09-25T21:38:58Z,SYNTHETIC,2026-09-07T05:25:48.936819Z
TX000223,AC000055,AC000384,1800000,2025-11-22T15:11:56Z,SYNTHETIC,2026-09-07T05:25:48.936823Z
TX000224,AC000055,AC000384,2200000,2025-12-01T20:31:58Z,SYNTHETIC,2026-09-07T05:25:48.936828Z
TX000225,AC000055,AC000259,1100000,2026-07-07T18:49:52Z,SYNTHETIC,2026-09-07T05:25:48.936832Z
TX000226,AC000259,AC000384,1012000,2026-07-07T18:49:52Z,SYNTHETIC,2026-09-07T05:25:48.936835Z
TX000227,AC000055,AC000384,1400000,2026-07-25T00:48:41Z,SYNTHETIC,2026-09-07T05:25:48.936840Z
TX000228,AC000056,AC000302,2400000,2024-01-08T16:58:23Z,SYNTHETIC,2026-09-07T05:25:48.936903Z
TX000229,AC000302,AC000391,2208000,2024-01-08T16:58:23Z,SYNTHETIC,2026-09-07T05:25:48.936907Z
