id,case_number,title,crime_type,district,status,opened_at,data_source,created_at
CS000048,CASE-0048,Smuggling syndicate in ,smuggling,Coimbatore,under_investigation,2026-05-08T06:08:16Z,SYNTHETIC,2026-09-07T05:25:48.247693Z
CS000049,CASE-0049,Investigation into Narcotics Trafficking at Estancia,narcotics trafficking,Chennai,under_investigation,2025-11-22T17:57:25Z,SYNTHETIC,2026-09-07T05:25:48.247842Z
CS000050,CASE-0050,Money Laundering corridor case — Madurai,money laundering,Madurai,open,2025-10-25T00:23:15Z,SYNTHETIC,2026-09-07T05:25:48.248058Z
CS000051,CASE-0051,Operation Redline — Money Laundering probe (Coimbatore),money laundering,Coimbatore,open,2024-11-11T13:19:52Z,SYNTHETIC,2026-09-07T05:25:48.248276Z
CS000052,CASE-0052,Money Laundering racket dismantled in Chennai,money laundering,Chennai,open,2024-01-24T06:05:05Z,SYNTHETIC,2026-09-07T05:25:48.248448Z
CS000053,CASE-0053,Robbery syndicate in ,robbery,Salem,under_investigation,2025-11-27T14:38:31Z,SYNTHETIC,2026-09-07T05:25:48.248640Z
CS000054,CASE-0054,Investigation into Extortion at Mylapore,extortion,Salem,open,2026-03-16T11:33:00Z,SYNTHETIC,2026-09-07T05:25:48.248788Z
CS000055,CASE-0055,Robbery corridor case — Chengalpattu,robbery,Chengalpattu,closed,2024-09-27T12:02:45Z,SYNTHETIC,2026-09-07T05:25:48.248937Z
CS000056,CASE-0056,Operation Hardcourt — Fraud probe (Coimbatore),fraud,Coimbatore,open,2024-05-16T00:35:46Z,SYNTHETIC,2026-09-07T05:25:48.249080Z
CS000057,CASE-0057,Narcotics Trafficking racket dismantled in Chennai,narcotics trafficking,Chennai,closed,2025-12-10T04:16:44Z,SYNTHETIC,2026-09-07T05:25:48.249225Z
CS000058,CASE-0058,Fraud syndicate in ,fraud,Theni,open,2026-02-15T05:58:39Z,SYNTHETIC,2026-09-07T05:25:48.249432Z
CS000059,CASE-0059,Investigation into Cybercrime at Washermenpet,cybercrime,Salem,open,2025-11-29T12:33:24Z,SYNTHETIC,2026-09-07T05:25:48.249575Z
CS000060,CASE-0060,Narcotics Trafficking corridor case — Kanniyakumari,narcotics trafficking,Kanniyakumari,open,2025-09-05T06:23:28Z,SYNTHETIC,2026-09-07T05:25:48.249724Z
CS000061,CASE-0061,Operation Redline — Extortion probe (Kancheepuram),extortion,Kancheepuram,open,2025-03-04T20:32:19Z,SYNTHETIC,2026-09-07T05:25:48.249999Z
CS000062,CASE-0062,Robbery racket dismantled in Erode,robbery,Erode,open,2025-07-04T01:18:42Z,SYNTHETIC,2026-09-07T05:25:48.250162Z
CS000063,CASE-0063,Narcotics Trafficking syndicate linked to ,narcotics trafficking,Chengalpattu,open,2025-12-07T18:11:40Z,SYNTHETIC,2026-09-07T05:25:48.250312Z
CS000064,CASE-0064,Investigation into Murder at Palayamkottai,murder,Thanjavur,under_investigation,2026-07-11T16:48:53Z,SYNTHETIC,2026-09-07T05:25:48.250520Z
CS000065,CASE-0065,Robbery corridor case — Erode,robbery,Erode,open,2024-08-30T10:57:18Z,SYNTHETIC,2026-09-07T05:25:48.250663Z
CS000066,CASE-0066,Operation Sandstorm — Robbery probe (Chengalpattu),robbery,Chengalpattu,open,2024-03-03T17:31:50Z,SYNTHETIC,2026-09-07T05:25:48.250794Z
CS000067,CASE-0067,Cybercrime racket dismantled in Tiruchchirappalli,cybercrime,Tiruchchirappalli,open,2024-07-24T00:46:13Z,SYNTHETIC,2026-09-07T05:25:48.250922Z
CS000068,CASE-0068,Extortion syndicate in ,extortion,Madurai,under_investigation,2024-10-02T19:11:32Z,SYNTHETIC,2026-09-07T05:25:48.251306Z
CS000069,CASE-0069,Investigation into Robbery at Gandhipuram,robbery,Kancheepuram,open,2025-07-21T18:17:22Z,SYNTHETIC,2026-09-07T05:25:48.251430Z
CS000070,CASE-0070,Extortion corridor case — Kancheepuram,extortion,Kancheepuram,closed,2024-11-29T08:56:44Z,SYNTHETIC,2026-09-07T05:25:48.251556Z
CS000071,CASE-0071,Operation Starlit — Money Laundering probe (Thiruvarur),money laundering,Thiruvarur,under_investigation,2024-09-15T07:19:36Z,SYNTHETIC,2026-09-07T05:25:48.251741Z
CS000072,CASE-0072,Money Laundering racket dismantled in Coimbatore,money laundering,Coimbatore,closed,2026-06-21T17:54:49Z,SYNTHETIC,2026-09-07T05:25:48.251867Z
CS000073,CASE-0073,Fraud syndicate in ,fraud,Salem,open,2025-07-17T13:50:25Z,SYNTHETIC,2026-09-07T05:25:48.251988Z
CS000074,CASE-0074,Investigation into Counterfeiting at Bharathi Bazaar,counterfeiting,Erode,under_investigation,2026-05-24T03:06:22Z,SYNTHETIC,2026-09-07T05:25:48.252107Z
CS000075,CASE-0075,Extortion corridor case — Virudhunagar,extortion,Virudhunagar,open,2025-10-31T05:10:32Z,SYNTHETIC,2026-09-07T05:25:48.252287Z
CS000076,CASE-0076,Operation Windchime — Money Laundering probe (Theni),money laundering,Theni,under_investigation,2025-06-21T12:36:23Z,SYNTHETIC,2026-09-07T05:25:48.252405Z
CS000077,CASE-0077,Robbery racket dismantled in Villupuram,robbery,Villupuram,open,2024-11-06T01:08:34Z,SYNTHETIC,2026-09-07T05:25:48.252568Z
CS000078,CASE-0078,Smuggling syndicate linked to ,smuggling,Madurai,open,2026-06-22T04:49:40Z,SYNTHETIC,2026-09-07T05:25:48.252688Z
CS000079,CASE-0079,Investigation into Vehicle Theft at Royapuram,vehicle theft,Tiruchchirappalli,open,2025-04-23T17:20:53Z,SYNTHETIC,2026-09-07T05:25:48.252847Z
CS000080,CASE-0080,Extortion corridor case — Chengalpattu,extortion,Chengalpattu,under_investigation,2024-10-13T21:53:58Z,SYNTHETIC,2026-09-07T05:25:48.252975Z
CS000081,CASE-0081,Operation Ironbite — Counterfeiting probe (Erode),counterfeiting,Erode,under_investigation,2025-09-15T14:04:40Z,SYNTHETIC,2026-09-07T05:25:48.253138Z
CS000082,CASE-0082,Extortion racket dismantled in Ramanathapuram,extortion,Ramanathapuram,open,2025-08-10T02:41:59Z,SYNTHETIC,2026-09-07T05:25:48.253262Z
CS000083,CASE-0083,Money Laundering syndicate in ,money laundering,Kanniyakumari,open,2026-05-03T21:57:14Z,SYNTHETIC,2026-09-07T05:25:48.253439Z
CS000084,CASE-0084,Investigation into Murder at Sulur,murder,Salem,under_investigation,2026-06-10T06:34:34Z,SYNTHETIC,2026-09-07T05:25:48.253555Z
CS000085,CASE-0085,Money Laundering corridor case — Erode,money laundering,Erode,closed,2025-01-12T02:21:39Z,SYNTHETIC,2026-09-07T05:25:48.253676Z
CS000086,CASE-0086,Operation Windchime — Robbery probe (Coimbatore),robbery,Coimbatore,open,2025-08-31T07:20:31Z,SYNTHETIC,2026-09-07T05:25:48.253847Z
CS000087,CASE-0087,Counterfeiting racket dismantled in Erode,counterfeiting,Erode,open,2024-07-25T15:45:12Z,SYNTHETIC,2026-09-07T05:25:48.253965Z
CS000088,CASE-0088,Money Laundering syndicate linked to ,money laundering,Thanjavur,open,2025-11-25T07:38:20Z,SYNTHETIC,2026-09-07T05:25:48.254143Z
CS000089,CASE-0089,Investigation into Robbery at Sundarankottai,robbery,Vellore,under_investigation,2025-11-01T14:07:42Z,SYNTHETIC,2026-09-07T05:25:48.254316Z
CS000090,CASE-0090,Money Laundering corridor case — Thanjavur,money laundering,Thanjavur,open,2024-02-15T05:00:50Z,SYNTHETIC,2026-09-07T05:25:48.255114Z
CS000091,CASE-9091,Cross-district extortion - hidden network probe,extortion,Chengalpattu,open,2024-10-14T06:15:34Z,SYNTHETIC,2026-09-07T05:25:48.258119Z
