id,entity_id,degree_centrality,betweenness_centrality,pagerank,computed_at
NA000085,CS000091,0.0016,0,0.0004,2026-09-07T05:25:52.415762Z
NA000086,P000387,0.0043,0.0018,0.0007,2026-09-07T05:25:52.415766Z
NA000087,P000048,0.0107,0.0069,0.0018,2026-09-07T05:25:52.415770Z
NA000088,P000182,0.0097,0.0048,0.0014,2026-09-07T05:25:52.415775Z
NA000089,P000207,0.0038,0.0011,0.0006,2026-09-07T05:25:52.415779Z
NA000090,P000371,0.0032,0.0015,0.0006,2026-09-07T05:25:52.415784Z
NA000091,P000316,0.0038,0.0024,0.0007,2026-09-07T05:25:52.415788Z
NA000092,P000355,0.0059,0.0027,0.0009,2026-09-07T05:25:52.415793Z
NA000093,P000394,0.0054,0.0014,0.0009,2026-09-07T05:25:52.415797Z
NA000094,P000252,0.0021,0.0007,0.0004,2026-09-07T05:25:52.415802Z
NA000095,P000317,0.0043,0.0016,0.0007,2026-09-07T05:25:52.415807Z
NA000096,P000377,0.0059,0.0052,0.0008,2026-09-07T05:25:52.415811Z
NA000097,P000063,0.0107,0.0059,0.0017,2026-09-07T05:25:52.415818Z
NA000098,P000058,0.0075,0.0092,0.0014,2026-09-07T05:25:52.415823Z
NA000099,P000402,0.007,0.0037,0.0012,2026-09-07T05:25:52.415828Z
NA000100,P000167,0.0081,0.0033,0.0014,2026-09-07T05:25:52.415833Z
NA000101,P000118,0.0091,0.0049,0.0017,2026-09-07T05:25:52.415837Z
NA000102,P000146,0.0097,0.0046,0.0015,2026-09-07T05:25:52.415842Z
NA000103,P000338,0.0043,0.0025,0.0007,2026-09-07T05:25:52.415846Z
NA000104,P000429,0.0027,0.0005,0.0004,2026-09-07T05:25:52.415851Z
NA000105,PH000002,0.0005,0,0.0001,2026-09-07T05:25:52.415855Z
NA000106,P000002,0.0107,0.023,0.0019,2026-09-07T05:25:52.415859Z
NA000107,PH000003,0.0005,0,0.0002,2026-09-07T05:25:52.415864Z
NA000108,PH000004,0.0005,0,0.0002,2026-09-07T05:25:52.415868Z
NA000109,P000003,0.0064,0.0079,0.0012,2026-09-07T05:25:52.415872Z
NA000110,PH000005,0.0005,0,0.0002,2026-09-07T05:25:52.415877Z
NA000111,PH000006,0.0005,0,0.0002,2026-09-07T05:25:52.415882Z
NA000112,P000004,0.0177,0.0117,0.0034,2026-09-07T05:25:52.415886Z
NA000113,PH000007,0.0005,0,0.0001,2026-09-07T05:25:52.415890Z
NA000114,PH000008,0.0005,0,0.0001,2026-09-07T05:25:52.415895Z
NA000115,P000006,0.0177,0.0179,0.003,2026-09-07T05:25:52.415899Z
NA000116,PH000009,0.0005,0,0.0001,2026-09-07T05:25:52.415903Z
NA000117,P000007,0.0054,0.0039,0.0009,2026-09-07T05:25:52.415908Z
NA000118,PH000010,0.0005,0,0.0002,2026-09-07T05:25:52.415912Z
NA000119,P000008,0.007,0.0032,0.0013,2026-09-07T05:25:52.415917Z
NA000120,PH000011,0.0005,0,0.0002,2026-09-07T05:25:52.415921Z
NA000121,PH000012,0.0005,0,0.0002,2026-09-07T05:25:52.415925Z
NA000122,P000009,0.0054,0.0021,0.0011,2026-09-07T05:25:52.415930Z
NA000123,PH000013,0.0005,0,0.0002,2026-09-07T05:25:52.415934Z
NA000124,P000010,0.0054,0.0029,0.0011,2026-09-07T05:25:52.415939Z
NA000125,PH000014,0.0005,0,0.0002,2026-09-07T05:25:52.415943Z
NA000126,PH000015,0.0005,0,0.0002,2026-09-07T05:25:52.415948Z
NA000127,P000011,0.0102,0.0096,0.0019,2026-09-07T05:25:52.415952Z
NA000128,PH000016,0.0005,0,0.0001,2026-09-07T05:25:52.415957Z
NA000129,PH000017,0.0005,0,0.0001,2026-09-07T05:25:52.415961Z
NA000130,P000012,0.0075,0.0047,0.0012,2026-09-07T05:25:52.415967Z
NA000131,PH000018,0.0005,0,0.0001,2026-09-07T05:25:52.415971Z
NA000132,P000013,0.007,0.0061,0.0012,2026-09-07T05:25:52.415976Z
NA000133,PH000019,0.0005,0,0.0001,2026-09-07T05:25:52.415980Z
NA000134,P000014,0.0086,0.0036,0.0016,2026-09-07T05:25:52.415984Z
NA000135,PH000020,0.0005,0,0.0001,2026-09-07T05:25:52.415989Z
NA000136,P000015,0.0081,0.0053,0.0013,2026-09-07T05:25:52.415994Z
NA000137,PH000021,0.0005,0,0.0001,2026-09-07T05:25:52.415998Z
NA000138,P000016,0.0064,0.0029,0.0012,2026-09-07T05:25:52.416003Z
NA000139,PH000022,0.0005,0,0.0001,2026-09-07T05:25:52.416007Z
NA000140,P000017,0.007,0.0035,0.0012,2026-09-07T05:25:52.416012Z
NA000141,PH000023,0.0005,0,0.0002,2026-09-07T05:25:52.416017Z
NA000142,P000018,0.007,0.015,0.0013,2026-09-07T05:25:52.416021Z
NA000143,PH000024,0.0005,0,0.0002,2026-09-07T05:25:52.416025Z
NA000144,PH000025,0.0005,0,0.0002,2026-09-07T05:25:52.416030Z
NA000145,PH000027,0.0005,0,0.0001,2026-09-07T05:25:52.416034Z
NA000146,P000020,0.0097,0.014,0.0016,2026-09-07T05:25:52.416039Z
NA000147,PH000028,0.0005,0,0.0001,2026-09-07T05:25:52.416043Z
NA000148,P000021,0.0081,0.0042,0.0014,2026-09-07T05:25:52.416047Z
NA000149,PH000029,0.0005,0,0.0002,2026-09-07T05:25:52.416052Z
NA000150,P000022,0.015,0.0202,0.0026,2026-09-07T05:25:52.416057Z
NA000151,PH000030,0.0005,0,0.0001,2026-09-07T05:25:52.416061Z
NA000152,P000023,0.0172,0.0157,0.0027,2026-09-07T05:25:52.416066Z
NA000153,PH000031,0.0005,0,0.0001,2026-09-07T05:25:52.416071Z
NA000154,P000024,0.0156,0.0124,0.003,2026-09-07T05:25:52.416075Z
NA000155,PH000032,0.0005,0,0.0001,2026-09-07T05:25:52.416080Z
NA000156,PH000033,0.0005,0,0.0001,2026-09-07T05:25:52.416084Z
NA000157,P000026,0.0081,0.0027,0.0015,2026-09-07T05:25:52.416088Z
NA000158,PH000034,0.0005,0,0.0002,2026-09-07T05:25:52.416092Z
NA000159,PH000035,0.0005,0,0.0002,2026-09-07T05:25:52.416097Z
NA000160,P000027,0.0102,0.0068,0.0018,2026-09-07T05:25:52.416101Z
NA000161,PH000036,0.0005,0,0.0001,2026-09-07T05:25:52.416106Z
NA000162,P000028,0.0097,0.0038,0.0018,2026-09-07T05:25:52.416110Z
NA000163,PH000037,0.0005,0,0.0001,2026-09-07T05:25:52.416114Z
NA000164,P000029,0.0097,0.0051,0.0017,2026-09-07T05:25:52.416119Z
NA000165,PH000038,0.0005,0,0.0001,2026-09-07T05:25:52.416123Z
NA000166,PH000039,0.0005,0,0.0001,2026-09-07T05:25:52.416127Z
NA000167,P000030,0.007,0.0032,0.0014,2026-09-07T05:25:52.416132Z
NA000168,PH000040,0.0005,0,0.0001,2026-09-07T05:25:52.416136Z
NA000169,P000031,0.0081,0.0026,0.0014,2026-09-07T05:25:52.416141Z
NA000170,PH000041,0.0005,0,0.0001,2026-09-07T05:25:52.416145Z
NA000171,PH000043,0.0005,0,0.0001,2026-09-07T05:25:52.416150Z
NA000172,P000033,0.0054,0.0021,0.0011,2026-09-07T05:25:52.416154Z
NA000173,PH000044,0.0005,0,0.0002,2026-09-07T05:25:52.416159Z
NA000174,PH000045,0.0005,0,0.0002,2026-09-07T05:25:52.416167Z
NA000175,P000034,0.0091,0.0116,0.0019,2026-09-07T05:25:52.416175Z
NA000176,PH000046,0.0005,0,0.0002,2026-09-07T05:25:52.416182Z
NA000177,P000035,0.015,0.0108,0.0035,2026-09-07T05:25:52.416189Z
NA000178,PH000047,0.0005,0,0.0001,2026-09-07T05:25:52.416196Z
NA000179,PH000048,0.0005,0,0.0001,2026-09-07T05:25:52.416203Z
NA000180,P000036,0.0118,0.0063,0.0027,2026-09-07T05:25:52.416210Z
NA000181,PH000049,0.0005,0,0.0001,2026-09-07T05:25:52.416217Z
NA000182,P000037,0.007,0.0029,0.0016,2026-09-07T05:25:52.416235Z
NA000183,PH000050,0.0005,0,0.0001,2026-09-07T05:25:52.416240Z
NA000184,P000038,0.0086,0.0051,0.0018,2026-09-07T05:25:52.416245Z
NA000185,PH000051,0.0005,0,0.0001,2026-09-07T05:25:52.416250Z
NA000186,P000039,0.0064,0.0034,0.0013,2026-09-07T05:25:52.416257Z
NA000187,PH000052,0.0005,0,0.0001,2026-09-07T05:25:52.416264Z
NA000188,P000040,0.0075,0.0028,0.0015,2026-09-07T05:25:52.416271Z
NA000189,PH000053,0.0005,0,0.0002,2026-09-07T05:25:52.416278Z
NA000190,P000041,0.0075,0.0028,0.0017,2026-09-07T05:25:52.416285Z
NA000191,PH000054,0.0005,0,0.0001,2026-09-07T05:25:52.416292Z
NA000192,PH000055,0.0005,0,0.0002,2026-09-07T05:25:52.416299Z
NA000193,P000043,0.0064,0.0039,0.0012,2026-09-07T05:25:52.416306Z
NA000194,PH000056,0.0005,0,0.0001,2026-09-07T05:25:52.416314Z
NA000195,PH000058,0.0005,0,0.0001,2026-09-07T05:25:52.416322Z
NA000196,P000045,0.0081,0.0023,0.0014,2026-09-07T05:25:52.416330Z
NA000197,PH000059,0.0005,0,0.0001,2026-09-07T05:25:52.416338Z
NA000198,P000046,0.0172,0.0144,0.0029,2026-09-07T05:25:52.416346Z
NA000199,PH000060,0.0005,0,0.0001,2026-09-07T05:25:52.416354Z
NA000200,P000047,0.0188,0.0109,0.0029,2026-09-07T05:25:52.416364Z
NA000201,PH000061,0.0005,0,0.0001,2026-09-07T05:25:52.416371Z
NA000202,PH000062,0.0005,0,0.0001,2026-09-07T05:25:52.416380Z
NA000203,P000049,0.0081,0.0027,0.0014,2026-09-07T05:25:52.416388Z
NA000204,PH000063,0.0005,0,0.0001,2026-09-07T05:25:52.416398Z
NA000205,PH000064,0.0005,0,0.0001,2026-09-07T05:25:52.416406Z
NA000206,P000050,0.0081,0.0034,0.0014,2026-09-07T05:25:52.416413Z
NA000207,PH000065,0.0005,0,0.0001,2026-09-07T05:25:52.416421Z
NA000208,P000051,0.0172,0.0086,0.003,2026-09-07T05:25:52.416429Z
NA000209,PH000066,0.0005,0,0.0001,2026-09-07T05:25:52.416437Z
NA000210,P000052,0.014,0.0053,0.0026,2026-09-07T05:25:52.416444Z
NA000211,PH000067,0.0005,0,0.0001,2026-09-07T05:25:52.416451Z
NA000212,P000053,0.0086,0.0045,0.0016,2026-09-07T05:25:52.416459Z
NA000213,PH000068,0.0005,0,0.0001,2026-09-07T05:25:52.416467Z
NA000214,P000054,0.0107,0.0052,0.0019,2026-09-07T05:25:52.416474Z
NA000215,PH000069,0.0005,0,0.0001,2026-09-07T05:25:52.416480Z
NA000216,PH000070,0.0005,0,0.0001,2026-09-07T05:25:52.416487Z
NA000217,P000055,0.0204,0.0211,0.0034,2026-09-07T05:25:52.416494Z
NA000218,PH000071,0.0005,0,0.0001,2026-09-07T05:25:52.416500Z
NA000219,P000056,0.0086,0.0032,0.0014,2026-09-07T05:25:52.416507Z
NA000220,PH000072,0.0005,0,0.0001,2026-09-07T05:25:52.416515Z
NA000221,P000057,0.0161,0.0084,0.0028,2026-09-07T05:25:52.416522Z
NA000222,PH000073,0.0005,0,0.0001,2026-09-07T05:25:52.416529Z
NA000223,PH000074,0.0005,0,0.0002,2026-09-07T05:25:52.416536Z
NA000224,P000059,0.0091,0.0084,0.0015,2026-09-07T05:25:52.416542Z
NA000225,PH000075,0.0005,0,0.0001,2026-09-07T05:25:52.416548Z
NA000226,P000060,0.0113,0.006,0.0018,2026-09-07T05:25:52.416555Z
NA000227,PH000076,0.0005,0,0.0001,2026-09-07T05:25:52.416561Z
NA000228,P000061,0.0091,0.0044,0.0016,2026-09-07T05:25:52.416568Z
NA000229,PH000077,0.0005,0,0.0001,2026-09-07T05:25:52.416576Z
NA000230,PH000078,0.0005,0,0.0001,2026-09-07T05:25:52.416583Z
NA000231,PH000079,0.0005,0,0.0001,2026-09-07T05:25:52.416590Z
NA000232,PH000080,0.0005,0,0.0001,2026-09-07T05:25:52.416596Z
NA000233,PH000081,0.0005,0,0.0001,2026-09-07T05:25:52.416604Z
NA000234,P000064,0.0075,0.0041,0.0014,2026-09-07T05:25:52.416612Z
NA000235,PH000082,0.0005,0,0.0001,2026-09-07T05:25:52.416620Z
NA000236,P000065,0.0075,0.0023,0.0013,2026-09-07T05:25:52.416628Z
NA000237,PH000083,0.0005,0,0.0001,2026-09-07T05:25:52.416635Z
NA000238,P000066,0.007,0.0034,0.0011,2026-09-07T05:25:52.416643Z
NA000239,PH000084,0.0005,0,0.0001,2026-09-07T05:25:52.416650Z
NA000240,P000067,0.0086,0.0043,0.0015,2026-09-07T05:25:52.416659Z
NA000241,PH000085,0.0005,0,0.0001,2026-09-07T05:25:52.416666Z
NA000242,PH000086,0.0005,0,0.0001,2026-09-07T05:25:52.416674Z
NA000243,P000068,0.0091,0.0029,0.0018,2026-09-07T05:25:52.416681Z
NA000244,PH000087,0.0005,0,0.0001,2026-09-07T05:25:52.416688Z
NA000245,P000069,0.0075,0.0039,0.0013,2026-09-07T05:25:52.416696Z
NA000246,PH000088,0.0005,0,0.0002,2026-09-07T05:25:52.416703Z
NA000247,P000070,0.007,0.0104,0.0013,2026-09-07T05:25:52.416711Z
NA000248,PH000089,0.0005,0,0.0001,2026-09-07T05:25:52.416717Z
NA000249,PH000091,0.0005,0,0.0001,2026-09-07T05:25:52.416725Z
NA000250,P000072,0.0086,0.007,0.0013,2026-09-07T05:25:52.416731Z
NA000251,PH000092,0.0005,0,0.0001,2026-09-07T05:25:52.416738Z
NA000252,P000073,0.0215,0.0206,0.0035,2026-09-07T05:25:52.416745Z
NA000253,PH000093,0.0005,0,0.0001,2026-09-07T05:25:52.416752Z
NA000254,P000074,0.015,0.0075,0.0026,2026-09-07T05:25:52.416759Z
NA000255,PH000094,0.0005,0,0.0001,2026-09-07T05:25:52.416766Z
NA000256,P000075,0.0172,0.025,0.0027,2026-09-07T05:25:52.416773Z
NA000257,PH000095,0.0005,0,0.0001,2026-09-07T05:25:52.416780Z
NA000258,P000076,0.0102,0.0028,0.0019,2026-09-07T05:25:52.416788Z
NA000259,PH000096,0.0005,0,0.0001,2026-09-07T05:25:52.416829Z
NA000260,P000077,0.0107,0.0086,0.0015,2026-09-07T05:25:52.416840Z
NA000261,PH000097,0.0005,0,0.0001,2026-09-07T05:25:52.416848Z
NA000262,P000078,0.0193,0.0147,0.0034,2026-09-07T05:25:52.416855Z
NA000263,PH000098,0.0005,0,0.0001,2026-09-07T05:25:52.416862Z
NA000264,P000079,0.0188,0.0174,0.0034,2026-09-07T05:25:52.416871Z
NA000265,PH000099,0.0005,0,0.0001,2026-09-07T05:25:52.416878Z
NA000266,PH000100,0.0005,0,0.0001,2026-09-07T05:25:52.416885Z
NA000267,P000080,0.0081,0.0084,0.0016,2026-09-07T05:25:52.416893Z
NA000268,PH000101,0.0005,0,0.0001,2026-09-07T05:25:52.416899Z
NA000269,PH000102,0.0005,0,0.0001,2026-09-07T05:25:52.416907Z
NA000270,P000081,0.0059,0.002,0.0011,2026-09-07T05:25:52.416916Z
NA000271,PH000103,0.0005,0,0.0001,2026-09-07T05:25:52.416924Z
NA000272,P000082,0.0091,0.0031,0.0016,2026-09-07T05:25:52.416931Z
NA000273,PH000104,0.0005,0,0.0001,2026-09-07T05:25:52.416938Z
NA000274,PH000105,0.0005,0,0.0001,2026-09-07T05:25:52.416945Z
NA000275,P000084,0.0081,0.0033,0.0014,2026-09-07T05:25:52.416952Z
NA000276,PH000106,0.0005,0,0.0002,2026-09-07T05:25:52.416960Z
NA000277,PH000107,0.0005,0,0.0002,2026-09-07T05:25:52.416967Z
NA000278,P000085,0.0107,0.0055,0.0018,2026-09-07T05:25:52.416974Z
NA000279,PH000108,0.0005,0,0.0001,2026-09-07T05:25:52.416982Z
NA000280,PH000109,0.0005,0,0.0001,2026-09-07T05:25:52.416989Z
NA000281,P000086,0.0097,0.0054,0.0015,2026-09-07T05:25:52.416996Z
NA000282,PH000110,0.0005,0,0.0001,2026-09-07T05:25:52.417003Z
NA000283,PH000111,0.0005,0,0.0001,2026-09-07T05:25:52.417010Z
NA000284,P000087,0.0102,0.0054,0.0017,2026-09-07T05:25:52.417017Z
NA000285,PH000112,0.0005,0,0.0001,2026-09-07T05:25:52.417024Z
NA000286,P000088,0.0081,0.0045,0.0013,2026-09-07T05:25:52.417032Z
NA000287,PH000113,0.0005,0,0.0001,2026-09-07T05:25:52.417039Z
NA000288,P000089,0.0081,0.0042,0.0013,2026-09-07T05:25:52.417046Z
NA000289,PH000114,0.0005,0,0.0001,2026-09-07T05:25:52.417053Z
NA000290,P000090,0.0081,0.0034,0.0014,2026-09-07T05:25:52.417060Z
NA000291,PH000115,0.0005,0,0.0001,2026-09-07T05:25:52.417067Z
NA000292,PH000116,0.0005,0,0.0001,2026-09-07T05:25:52.417075Z
NA000293,P000091,0.0091,0.0061,0.0016,2026-09-07T05:25:52.417082Z
NA000294,PH000117,0.0005,0,0.0001,2026-09-07T05:25:52.417089Z
NA000295,PH000118,0.0005,0,0.0001,2026-09-07T05:25:52.417094Z
NA000296,P000092,0.0215,0.0321,0.0031,2026-09-07T05:25:52.417100Z
NA000297,PH000119,0.0005,0,0.0001,2026-09-07T05:25:52.417104Z
NA000298,P000093,0.0086,0.0072,0.0015,2026-09-07T05:25:52.417109Z
NA000299,PH000120,0.0005,0,0.0001,2026-09-07T05:25:52.417114Z
NA000300,P000094,0.0086,0.0039,0.0015,2026-09-07T05:25:52.417119Z
NA000301,PH000121,0.0005,0,0.0001,2026-09-07T05:25:52.417124Z
NA000302,PH000122,0.0005,0,0.0001,2026-09-07T05:25:52.417129Z
NA000303,P000095,0.0107,0.0054,0.0018,2026-09-07T05:25:52.417134Z
NA000304,PH000123,0.0005,0,0.0001,2026-09-07T05:25:52.417139Z
NA000305,PH000125,0.0005,0,0.0001,2026-09-07T05:25:52.417144Z
NA000306,P000097,0.0166,0.0124,0.003,2026-09-07T05:25:52.417149Z
NA000307,PH000126,0.0005,0,0.0001,2026-09-07T05:25:52.417153Z
NA000308,P000098,0.0091,0.01,0.0017,2026-09-07T05:25:52.417158Z
NA000309,PH000127,0.0005,0,0.0002,2026-09-07T05:25:52.417163Z
NA000310,P000099,0.0081,0.0078,0.0016,2026-09-07T05:25:52.417169Z
NA000311,PH000128,0.0005,0,0.0001,2026-09-07T05:25:52.417174Z
NA000312,P000100,0.007,0.0039,0.0014,2026-09-07T05:25:52.417179Z
NA000313,PH000129,0.0005,0,0.0002,2026-09-07T05:25:52.417184Z
NA000314,PH000130,0.0005,0,0.0002,2026-09-07T05:25:52.417188Z
NA000315,P000101,0.0081,0.0044,0.0013,2026-09-07T05:25:52.417193Z
NA000316,PH000131,0.0005,0,0.0001,2026-09-07T05:25:52.417197Z
NA000317,P000102,0.0091,0.0087,0.0014,2026-09-07T05:25:52.417202Z
NA000318,PH000132,0.0005,0,0.0001,2026-09-07T05:25:52.417207Z
NA000319,P000103,0.0064,0.0036,0.0012,2026-09-07T05:25:52.417211Z
NA000320,PH000133,0.0005,0,0.0001,2026-09-07T05:25:52.417216Z
NA000321,P000104,0.0086,0.0052,0.0016,2026-09-07T05:25:52.417221Z
NA000322,PH000134,0.0005,0,0.0001,2026-09-07T05:25:52.417225Z
NA000323,P000105,0.015,0.0079,0.0029,2026-09-07T05:25:52.417230Z
NA000324,PH000135,0.0005,0,0.0001,2026-09-07T05:25:52.417235Z
NA000325,P000106,0.0081,0.0028,0.0016,2026-09-07T05:25:52.417240Z
NA000326,PH000136,0.0005,0,0.0002,2026-09-07T05:25:52.417244Z
NA000327,PH000137,0.0005,0,0.0002,2026-09-07T05:25:52.417249Z
NA000328,P000108,0.0086,0.0048,0.0015,2026-09-07T05:25:52.417253Z
NA000329,PH000138,0.0005,0,0.0001,2026-09-07T05:25:52.417258Z
NA000330,PH000140,0.0005,0,0.0001,2026-09-07T05:25:52.417262Z
NA000331,PH000141,0.0005,0,0.0002,2026-09-07T05:25:52.417267Z
NA000332,P000111,0.0064,0.0067,0.0014,2026-09-07T05:25:52.417272Z
NA000333,PH000142,0.0005,0,0.0001,2026-09-07T05:25:52.417276Z
NA000334,P000112,0.0156,0.0091,0.0033,2026-09-07T05:25:52.417281Z
NA000335,PH000143,0.0005,0,0.0001,2026-09-07T05:25:52.417286Z
NA000336,P000113,0.0081,0.0031,0.0019,2026-09-07T05:25:52.417290Z
NA000337,PH000144,0.0005,0,0.0001,2026-09-07T05:25:52.417295Z
NA000338,PH000145,0.0005,0,0.0001,2026-09-07T05:25:52.417299Z
NA000339,P000114,0.0129,0.0059,0.0028,2026-09-07T05:25:52.417304Z
