id,source_entity_id,candidate_entity_id,match_score,match_status,matching_method,supporting_evidence,reviewed_by,reviewed_at,created_at
MT000027,P000333,P000592,0.76,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2026-03-22T13:54:01Z
MT000028,P000280,P000297,0.59,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-09-22T07:17:59Z
MT000029,P000098,P000117,0.7,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-03-19T05:21:54Z
MT000030,P000041,P000526,0.74,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-06-11T22:02:05Z
MT000031,P000128,P000457,0.54,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-03-20T20:59:48Z
MT000032,P000333,P000552,0.8,PROBABLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-10-05T23:08:57Z
MT000033,P000458,P000598,0.81,PROBABLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-11-21T05:22:07Z
MT000034,P000065,P000074,0.64,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-10-25T06:45:31Z
MT000035,P000552,P000592,0.79,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-03-04T14:45:40Z
MT000036,P000018,P000177,0.63,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-01-11T10:44:57Z
MT000037,P000302,P000564,0.8,PROBABLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-08-19T03:55:56Z
MT000038,P000291,P000359,0.32,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2025-04-15T17:04:17Z,2025-07-30T09:47:23Z
MT000039,P000176,P000395,0.73,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-02-06T02:07:30Z
MT000040,P000060,P000440,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2026-04-25T06:24:53Z
MT000041,P000096,P000368,0.72,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2026-06-10T02:06:48Z
MT000042,P000181,P000613,0.56,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-11-09T23:27:05Z
MT000043,P000545,P000589,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-03-08T00:27:12Z
MT000044,P000396,P000407,0.62,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-10-28T23:56:30Z
MT000045,P000084,P000479,0.56,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-04-14T06:32:59Z
MT000046,P000460,P000591,0.64,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-04-03T20:30:32Z
MT000047,P000392,P000411,0.42,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2024-05-26T06:53:03Z,2024-09-12T19:49:45Z
MT000048,P000078,P000485,0.86,PROBABLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-01-03T10:33:54Z
MT000049,P000139,P000495,0.64,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2026-02-09T09:03:30Z
MT000050,P000120,P000611,0.65,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-09-10T18:21:03Z
MT000051,P000207,P000582,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-06-14T02:11:32Z
MT000052,P000422,P000504,0.72,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-10-18T23:09:37Z
MT000053,P000031,P000232,0.71,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-12-25T18:14:28Z
MT000054,P000059,P000599,0.71,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-04-30T21:52:26Z
MT000055,P000353,P000360,0.64,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-10-15T08:18:09Z
MT000056,P000151,P000463,0.61,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-06-19T21:22:13Z
MT000057,P000266,P000268,0.8,PROBABLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-10-11T11:24:04Z
MT000058,P000145,P000269,0.72,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-01-09T06:53:37Z
MT000059,P000063,P000256,0.52,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-12-17T15:06:49Z
MT000060,P000369,P000379,0.46,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2025-11-25T03:36:07Z,2026-03-17T06:07:13Z
