id,user_id,action,details,created_at
AU000055,US000003,LOGIN,"{""email"": ""analyst@drishyam.demo""}",2024-03-22T04:14:03Z
AU000056,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-03-22T13:54:01Z
AU000057,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-03-19T05:21:54Z
AU000058,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000425"", ""evidence_type"": ""CDR""}",2024-10-25T06:45:31Z
AU000059,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2025-04-15T17:04:17Z
AU000060,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000735"", ""evidence_type"": ""CDR""}",2026-06-10T02:06:48Z
AU000061,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-730""}",2025-04-14T06:32:59Z
AU000062,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000169"", ""evidence_type"": ""CDR""}",2026-02-09T09:03:30Z
AU000063,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-10-18T23:09:37Z
AU000064,US000002,FIR_FILED,"{""fir_number"": ""FIR-80"", ""entities_found"": 7}",2024-10-15T08:18:09Z
AU000065,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000006"", ""evidence_type"": ""CDR""}",2025-11-25T03:36:07Z
AU000066,US000001,REPORT_GENERATED,"{""report_id"": ""RP000263""}",2025-11-02T15:04:18Z
AU000067,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2024-04-28T17:41:19Z
AU000068,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-12-05T13:54:27Z
AU000069,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000063"", ""status"": ""PASSED""}",2025-10-17T09:49:37Z
AU000070,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-368""}",2024-11-07T08:27:58Z
AU000071,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-08-21T13:23:18Z
AU000072,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000302"", ""status"": ""PASSED""}",2024-10-03T11:19:39Z
AU000073,US000001,FIR_FILED,"{""fir_number"": ""FIR-99"", ""entities_found"": 7}",2026-01-06T11:33:19Z
AU000074,US000001,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-10-19T19:05:41Z
AU000075,US000003,LOGIN,"{""email"": ""analyst@drishyam.demo""}",2026-03-09T21:02:43Z
AU000076,US000001,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-12-10T04:34:24Z
AU000077,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-187""}",2024-10-29T20:59:29Z
AU000078,US000001,REPORT_GENERATED,"{""report_id"": ""RP000510""}",2024-03-09T08:10:29Z
AU000079,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-574""}",2025-11-07T10:06:17Z
AU000080,US000002,FIR_FILED,"{""fir_number"": ""FIR-520"", ""entities_found"": 7}",2026-08-29T20:03:19Z
AU000081,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2025-06-02T07:15:25Z
AU000082,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-464""}",2026-06-01T18:43:10Z
AU000083,US000003,FIR_FILED,"{""fir_number"": ""FIR-637"", ""entities_found"": 7}",2024-01-05T00:02:01Z
AU000084,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2025-08-27T15:57:03Z
AU000085,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-146""}",2026-06-26T05:02:22Z
AU000086,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2026-06-10T19:40:46Z
AU000087,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2024-05-03T11:22:55Z
AU000088,US000002,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000012"", ""evidence_type"": ""CDR""}",2026-01-31T21:09:19Z
AU000089,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2025-12-24T08:09:08Z
AU000090,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-799""}",2024-11-30T01:24:10Z
AU000091,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2025-04-24T03:14:09Z
AU000092,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000604"", ""status"": ""PASSED""}",2025-03-23T22:36:47Z
AU000093,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-7""}",2026-05-21T11:44:58Z
AU000094,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-110""}",2025-08-28T23:48:43Z
AU000095,US000001,REPORT_GENERATED,"{""report_id"": ""RP000438""}",2024-05-04T09:50:55Z
AU000096,US000002,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000102"", ""evidence_type"": ""CDR""}",2025-11-30T19:03:40Z
AU000097,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-01-02T09:49:37Z
AU000098,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-240""}",2024-12-03T08:38:40Z
AU000099,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2025-07-04T04:15:37Z
AU000100,US000003,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000181"", ""status"": ""PASSED""}",2026-02-04T23:50:05Z
AU000101,US000002,FIR_FILED,"{""fir_number"": ""FIR-351"", ""entities_found"": 7}",2025-08-26T18:07:16Z
AU000102,US000001,FIR_FILED,"{""fir_number"": ""FIR-336"", ""entities_found"": 7}",2026-01-03T06:51:08Z
AU000103,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-282""}",2024-01-10T07:44:51Z
AU000104,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000003"", ""evidence_type"": ""CDR""}",2025-12-28T20:03:22Z
AU000105,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000567"", ""status"": ""PASSED""}",2024-12-01T15:08:50Z
AU000106,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-04-05T01:40:13Z
AU000107,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2025-12-15T14:35:34Z
AU000108,US000002,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000435"", ""evidence_type"": ""CDR""}",2025-10-01T12:37:31Z
AU000109,US000003,REPORT_GENERATED,"{""report_id"": ""RP000129""}",2024-09-29T20:39:34Z
AU000110,US000002,FIR_FILED,"{""fir_number"": ""FIR-112"", ""entities_found"": 7}",2025-10-19T20:11:37Z
AU000111,US000002,REPORT_GENERATED,"{""report_id"": ""RP000865""}",2025-04-05T05:46:14Z
AU000112,US000003,REPORT_GENERATED,"{""report_id"": ""RP000153""}",2025-02-15T08:24:47Z
AU000113,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-374""}",2024-01-29T08:37:09Z
AU000114,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-657""}",2026-07-23T21:22:28Z
AU000115,US000001,FIR_FILED,"{""fir_number"": ""FIR-403"", ""entities_found"": 7}",2024-04-22T20:25:54Z
AU000116,US000001,REPORT_GENERATED,"{""report_id"": ""RP000619""}",2024-05-06T13:42:32Z
AU000117,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-767""}",2025-08-15T17:30:40Z
AU000118,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-829""}",2025-05-01T08:41:49Z
AU000119,US000002,FIR_FILED,"{""fir_number"": ""FIR-264"", ""entities_found"": 7}",2025-07-29T20:11:30Z
AU000120,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2025-05-26T16:57:04Z
AU000121,US000002,FIR_FILED,"{""fir_number"": ""FIR-868"", ""entities_found"": 7}",2025-04-30T01:17:22Z
AU000122,US000003,REPORT_GENERATED,"{""report_id"": ""RP000184""}",2026-08-22T08:23:53Z
AU000123,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000755"", ""status"": ""PASSED""}",2024-11-05T19:41:12Z
AU000124,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-302""}",2024-01-11T18:43:14Z
AU000125,US000003,FIR_FILED,"{""fir_number"": ""FIR-654"", ""entities_found"": 7}",2024-10-08T06:49:22Z
AU000126,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2025-04-15T01:06:33Z
AU000127,US000001,REPORT_GENERATED,"{""report_id"": ""RP000097""}",2024-02-12T03:10:00Z
AU000128,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000892"", ""evidence_type"": ""CDR""}",2026-05-20T03:27:29Z
AU000129,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-215""}",2024-07-20T07:56:58Z
AU000130,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-317""}",2025-11-07T16:16:34Z
AU000131,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2026-03-26T15:40:08Z
AU000132,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000168"", ""evidence_type"": ""CDR""}",2024-03-14T01:45:16Z
AU000133,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000259"", ""evidence_type"": ""CDR""}",2025-02-10T05:46:35Z
AU000134,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-05-11T22:51:30Z
AU000135,US000002,FIR_FILED,"{""fir_number"": ""FIR-56"", ""entities_found"": 7}",2025-03-07T05:14:34Z
AU000136,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000549"", ""evidence_type"": ""CDR""}",2025-05-15T04:28:29Z
AU000137,US000003,FIR_FILED,"{""fir_number"": ""FIR-489"", ""entities_found"": 7}",2024-08-14T10:58:26Z
AU000138,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-08-22T21:42:43Z
AU000139,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-161""}",2026-04-11T13:21:40Z
AU000140,US000003,LOGIN,"{""email"": ""analyst@drishyam.demo""}",2025-12-31T06:51:16Z
AU000141,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-08-01T00:42:59Z
AU000142,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2025-11-16T09:24:58Z
AU000143,US000003,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000528"", ""status"": ""PASSED""}",2025-09-27T16:00:50Z
AU000144,US000001,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2025-03-26T05:31:14Z
AU000145,US000003,FIR_FILED,"{""fir_number"": ""FIR-465"", ""entities_found"": 7}",2026-07-20T06:48:46Z
AU000146,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000852"", ""status"": ""PASSED""}",2025-05-10T12:53:17Z
AU000147,US000001,REPORT_GENERATED,"{""report_id"": ""RP000648""}",2026-06-14T06:47:48Z
AU000148,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-794""}",2025-05-03T12:07:12Z
AU000149,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2025-06-28T08:22:31Z
AU000150,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000787"", ""evidence_type"": ""CDR""}",2024-03-10T14:32:20Z
AU000151,US000002,REPORT_GENERATED,"{""report_id"": ""RP000449""}",2026-08-03T06:50:13Z
AU000152,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000866"", ""evidence_type"": ""CDR""}",2026-06-15T00:08:54Z
AU000153,US000003,FIR_FILED,"{""fir_number"": ""FIR-164"", ""entities_found"": 7}",2024-09-14T05:06:25Z
AU000154,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-02-14T09:38:46Z
AU000155,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-645""}",2024-12-09T06:08:46Z
AU000156,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-01-01T14:44:46Z
AU000157,US000001,REPORT_GENERATED,"{""report_id"": ""RP000812""}",2024-12-23T16:15:45Z
AU000158,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000021"", ""evidence_type"": ""CDR""}",2024-01-03T17:52:28Z
AU000159,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000753"", ""status"": ""PASSED""}",2026-06-22T05:36:23Z
AU000160,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-01-13T18:56:15Z
AU000161,US000002,FIR_FILED,"{""fir_number"": ""FIR-529"", ""entities_found"": 7}",2024-11-07T23:34:20Z
AU000162,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-32""}",2024-08-10T23:39:19Z
AU000163,US000001,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2025-07-29T16:20:25Z
AU000164,US000001,FIR_FILED,"{""fir_number"": ""FIR-569"", ""entities_found"": 7}",2026-07-10T08:34:11Z
AU000165,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2025-03-20T22:33:48Z
AU000166,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-550""}",2024-10-08T16:03:07Z
AU000167,US000003,FIR_FILED,"{""fir_number"": ""FIR-15"", ""entities_found"": 7}",2026-01-16T03:28:13Z
AU000168,US000001,FIR_FILED,"{""fir_number"": ""FIR-179"", ""entities_found"": 7}",2025-01-21T05:17:47Z
AU000169,US000001,REPORT_GENERATED,"{""report_id"": ""RP000378""}",2025-06-21T06:01:41Z
AU000170,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000528"", ""evidence_type"": ""CDR""}",2024-02-12T08:58:02Z
AU000171,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-236""}",2025-06-13T01:13:55Z
AU000172,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000275"", ""status"": ""PASSED""}",2025-03-17T20:04:58Z
AU000173,US000002,FIR_FILED,"{""fir_number"": ""FIR-589"", ""entities_found"": 7}",2024-04-29T14:31:05Z
AU000174,US000002,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000854"", ""evidence_type"": ""CDR""}",2024-10-24T10:10:22Z
AU000175,US000001,FIR_FILED,"{""fir_number"": ""FIR-209"", ""entities_found"": 7}",2025-06-16T18:03:08Z
AU000176,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-348""}",2026-08-07T10:57:19Z
AU000177,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2025-12-01T06:56:40Z
AU000178,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000775"", ""status"": ""PASSED""}",2026-06-20T20:31:14Z
AU000179,US000003,REPORT_GENERATED,"{""report_id"": ""RP000202""}",2026-07-29T20:18:34Z
AU000180,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2026-08-09T01:45:13Z
AU000181,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000777"", ""evidence_type"": ""CDR""}",2025-03-26T08:01:32Z
AU000182,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-315""}",2025-11-18T13:35:06Z
AU000183,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-297""}",2024-10-12T10:46:20Z
AU000184,US000001,FIR_FILED,"{""fir_number"": ""FIR-765"", ""entities_found"": 7}",2024-07-12T18:10:44Z
AU000185,US000003,FIR_FILED,"{""fir_number"": ""FIR-281"", ""entities_found"": 7}",2024-01-19T09:14:00Z
AU000186,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2024-07-31T19:08:54Z
AU000187,US000001,REPORT_GENERATED,"{""report_id"": ""RP000427""}",2024-02-12T06:08:25Z
AU000188,US000002,REPORT_GENERATED,"{""report_id"": ""RP000659""}",2026-07-08T23:22:00Z
AU000189,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000727"", ""evidence_type"": ""CDR""}",2026-05-25T01:51:10Z
AU000190,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000595"", ""evidence_type"": ""CDR""}",2025-06-01T02:41:58Z
AU000191,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000865"", ""evidence_type"": ""CDR""}",2024-06-24T11:37:42Z
AU000192,US000003,FIR_FILED,"{""fir_number"": ""FIR-394"", ""entities_found"": 7}",2026-08-14T21:07:18Z
AU000193,US000002,FIR_FILED,"{""fir_number"": ""FIR-611"", ""entities_found"": 7}",2026-07-26T05:14:15Z
AU000194,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000224"", ""evidence_type"": ""CDR""}",2026-05-25T13:07:15Z
AU000195,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000848"", ""evidence_type"": ""CDR""}",2025-09-30T21:48:45Z
AU000196,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000524"", ""evidence_type"": ""CDR""}",2025-07-05T06:23:19Z
AU000197,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-428""}",2025-08-21T02:39:48Z
AU000198,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-01-13T00:51:49Z
AU000199,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000099"", ""status"": ""PASSED""}",2025-12-13T00:13:25Z
AU000200,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2026-01-25T06:39:41Z
AU000201,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000851"", ""status"": ""PASSED""}",2025-09-02T15:02:47Z
AU000202,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000309"", ""evidence_type"": ""CDR""}",2024-05-24T21:05:05Z
AU000203,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000542"", ""status"": ""PASSED""}",2026-05-29T17:31:55Z
AU000204,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000602"", ""evidence_type"": ""CDR""}",2024-06-27T15:07:54Z
AU000205,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000857"", ""evidence_type"": ""CDR""}",2024-04-05T01:23:48Z
AU000206,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-09-01T04:52:50Z
AU000207,US000003,REPORT_GENERATED,"{""report_id"": ""RP000760""}",2026-01-20T19:29:07Z
AU000208,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-02-10T05:16:20Z
AU000209,US000003,LOGIN,"{""email"": ""analyst@drishyam.demo""}",2026-03-17T12:52:05Z
AU000210,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000267"", ""evidence_type"": ""CDR""}",2025-01-12T12:19:08Z
AU000211,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2026-05-10T15:29:48Z
AU000212,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-99""}",2024-10-27T00:00:06Z
AU000213,US000002,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000192"", ""evidence_type"": ""CDR""}",2025-05-26T11:23:04Z
AU000214,US000003,FIR_FILED,"{""fir_number"": ""FIR-516"", ""entities_found"": 7}",2024-10-22T07:47:56Z
AU000215,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000150"", ""evidence_type"": ""CDR""}",2026-07-25T13:30:25Z
AU000216,US000003,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000841"", ""status"": ""PASSED""}",2024-05-23T13:08:14Z
AU000217,US000002,REPORT_GENERATED,"{""report_id"": ""RP000602""}",2024-12-04T04:27:49Z
AU000218,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000728"", ""status"": ""PASSED""}",2025-06-21T17:32:03Z
AU000219,US000003,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2024-01-30T18:40:59Z
