id,registration_number,owner_person_id,vehicle_type,data_source,created_at
VH000024,TN55 AU 3040,P000035,motorcycle,SYNTHETIC,2026-09-07T05:25:48.231883Z
VH000025,TN50 WN 3290,P000037,van,SYNTHETIC,2026-09-07T05:25:48.231902Z
VH000026,TN28 UZ 8547,P000039,motorcycle,SYNTHETIC,2026-09-07T05:25:48.231920Z
VH000027,TN21 UR 6495,P000040,SUV,SYNTHETIC,2026-09-07T05:25:48.231940Z
VH000028,TN58 CF 2176,P000041,sedan,SYNTHETIC,2026-09-07T05:25:48.231956Z
VH000029,TN39 JX 9364,P000042,truck,SYNTHETIC,2026-09-07T05:25:48.231972Z
VH000030,TN32 TN 3750,P000043,van,SYNTHETIC,2026-09-07T05:25:48.231988Z
VH000031,TN21 HV 1242,P000044,SUV,SYNTHETIC,2026-09-07T05:25:48.232004Z
VH000032,TN30 NL 5937,P000048,truck,SYNTHETIC,2026-09-07T05:25:48.232022Z
VH000033,TN60 VU 3638,P000050,pickup,SYNTHETIC,2026-09-07T05:25:48.232051Z
VH000034,TN27 XK 1911,P000051,sedan,SYNTHETIC,2026-09-07T05:25:48.232070Z
VH000035,TN43 FM 9546,P000054,sedan,SYNTHETIC,2026-09-07T05:25:48.232088Z
VH000036,TN25 UE 4912,P000056,truck,SYNTHETIC,2026-09-07T05:25:48.232105Z
VH000037,TN43 FT 8813,P000057,lorry,SYNTHETIC,2026-09-07T05:25:48.232123Z
VH000038,TN19 RZ 2449,P000058,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232140Z
VH000039,TN63 PA 1949,P000059,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.232158Z
VH000040,TN30 CJ 2933,P000061,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232176Z
VH000041,TN47 AM 1121,P000062,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.232194Z
VH000042,TN69 CW 7732,P000064,bus,SYNTHETIC,2026-09-07T05:25:48.232212Z
VH000043,TN46 RU 9180,P000065,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232228Z
VH000044,TN34 CL 2219,P000067,sedan,SYNTHETIC,2026-09-07T05:25:48.232245Z
VH000045,TN50 PT 1711,P000068,van,SYNTHETIC,2026-09-07T05:25:48.232262Z
VH000046,TN01 HX 8165,P000069,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232280Z
VH000047,TN23 SE 2642,P000070,sedan,SYNTHETIC,2026-09-07T05:25:48.232297Z
VH000048,TN63 US 7528,P000071,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232314Z
VH000049,TN39 RT 7844,P000073,lorry,SYNTHETIC,2026-09-07T05:25:48.232332Z
VH000050,TN21 WE 7484,P000075,van,SYNTHETIC,2026-09-07T05:25:48.232349Z
VH000051,TN28 SR 2719,P000076,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232367Z
VH000052,TN38 VW 1522,P000079,sedan,SYNTHETIC,2026-09-07T05:25:48.232386Z
VH000053,TN51 AH 3020,P000080,lorry,SYNTHETIC,2026-09-07T05:25:48.232403Z
VH000054,TN60 VJ 8955,P000081,sedan,SYNTHETIC,2026-09-07T05:25:48.232421Z
VH000055,TN43 EH 5290,P000083,lorry,SYNTHETIC,2026-09-07T05:25:48.232439Z
VH000056,TN43 LD 6507,P000084,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.232456Z
VH000057,TN43 MM 4293,P000085,sedan,SYNTHETIC,2026-09-07T05:25:48.232474Z
VH000058,TN62 JG 6354,P000086,lorry,SYNTHETIC,2026-09-07T05:25:48.232492Z
VH000059,TN55 DC 3891,P000087,sedan,SYNTHETIC,2026-09-07T05:25:48.232508Z
VH000060,TN75 PZ 1823,P000088,SUV,SYNTHETIC,2026-09-07T05:25:48.232525Z
VH000061,TN30 EK 3992,P000092,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232544Z
VH000062,TN58 DA 8604,P000093,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232560Z
VH000063,TN62 SD 2844,P000095,SUV,SYNTHETIC,2026-09-07T05:25:48.232577Z
VH000064,TN45 TG 8486,P000096,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232594Z
VH000065,TN49 RN 2581,P000097,SUV,SYNTHETIC,2026-09-07T05:25:48.232612Z
VH000066,TN58 YJ 4817,P000098,sedan,SYNTHETIC,2026-09-07T05:25:48.232629Z
VH000067,TN63 HW 6269,P000099,lorry,SYNTHETIC,2026-09-07T05:25:48.232645Z
VH000068,TN21 XF 3242,P000102,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232664Z
VH000069,TN19 HG 3902,P000104,SUV,SYNTHETIC,2026-09-07T05:25:48.232681Z
VH000070,TN58 KD 5458,P000105,sedan,SYNTHETIC,2026-09-07T05:25:48.232698Z
VH000071,TN19 AN 6315,P000106,sedan,SYNTHETIC,2026-09-07T05:25:48.232715Z
VH000072,TN50 XV 2291,P000107,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232731Z
VH000073,TN75 FE 2626,P000108,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232747Z
VH000074,TN25 DN 5476,P000109,SUV,SYNTHETIC,2026-09-07T05:25:48.232763Z
VH000075,TN38 AC 6054,P000111,sedan,SYNTHETIC,2026-09-07T05:25:48.232780Z
VH000076,TN31 HK 8133,P000112,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232795Z
VH000077,TN19 YJ 4812,P000114,SUV,SYNTHETIC,2026-09-07T05:25:48.232814Z
VH000078,TN38 NW 7743,P000116,truck,SYNTHETIC,2026-09-07T05:25:48.232835Z
VH000079,TN45 PL 5689,P000117,sedan,SYNTHETIC,2026-09-07T05:25:48.232851Z
VH000080,TN46 PU 9155,P000118,sedan,SYNTHETIC,2026-09-07T05:25:48.232868Z
VH000081,TN49 BV 5096,P000119,sedan,SYNTHETIC,2026-09-07T05:25:48.232884Z
VH000082,TN46 XV 8035,P000120,truck,SYNTHETIC,2026-09-07T05:25:48.232901Z
VH000083,TN32 MG 3768,P000121,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.232917Z
VH000084,TN75 MR 8797,P000125,truck,SYNTHETIC,2026-09-07T05:25:48.232936Z
VH000085,TN21 PU 7481,P000127,motorcycle,SYNTHETIC,2026-09-07T05:25:48.232955Z
VH000086,TN50 GD 3020,P000129,SUV,SYNTHETIC,2026-09-07T05:25:48.232972Z
VH000087,TN49 MX 7286,P000130,truck,SYNTHETIC,2026-09-07T05:25:48.232988Z
VH000088,TN45 XM 3135,P000131,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233005Z
VH000089,TN20 AW 2015,P000133,van,SYNTHETIC,2026-09-07T05:25:48.233022Z
VH000090,TN27 TC 1572,P000136,SUV,SYNTHETIC,2026-09-07T05:25:48.233040Z
VH000091,TN69 DF 1692,P000137,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233056Z
VH000092,TN55 AV 5925,P000138,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233073Z
VH000093,TN75 TH 2925,P000139,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233089Z
VH000094,TN64 AW 8773,P000140,truck,SYNTHETIC,2026-09-07T05:25:48.233105Z
VH000095,TN01 RZ 1811,P000141,truck,SYNTHETIC,2026-09-07T05:25:48.233122Z
VH000096,TN01 SY 1306,P000142,sedan,SYNTHETIC,2026-09-07T05:25:48.233138Z
VH000097,TN31 XX 2170,P000143,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233154Z
VH000098,TN38 KG 9141,P000146,lorry,SYNTHETIC,2026-09-07T05:25:48.233172Z
VH000099,TN64 VW 4683,P000148,lorry,SYNTHETIC,2026-09-07T05:25:48.233191Z
VH000100,TN01 ZU 1039,P000149,SUV,SYNTHETIC,2026-09-07T05:25:48.233208Z
VH000101,TN46 LW 5025,P000150,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233225Z
VH000102,TN49 DC 5744,P000151,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233242Z
VH000103,TN30 AT 2792,P000152,truck,SYNTHETIC,2026-09-07T05:25:48.233258Z
VH000104,TN31 WP 7502,P000153,truck,SYNTHETIC,2026-09-07T05:25:48.233276Z
VH000105,TN01 ZH 4647,P000154,SUV,SYNTHETIC,2026-09-07T05:25:48.233292Z
VH000106,TN62 VM 5764,P000159,lorry,SYNTHETIC,2026-09-07T05:25:48.233313Z
VH000107,TN58 LX 1668,P000160,van,SYNTHETIC,2026-09-07T05:25:48.233329Z
VH000108,TN23 TK 6649,P000161,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.233344Z
VH000109,TN51 KS 1386,P000163,SUV,SYNTHETIC,2026-09-07T05:25:48.233362Z
VH000110,TN46 ZP 3999,P000164,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233380Z
VH000111,TN20 LE 3366,P000165,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233396Z
VH000112,TN25 JD 3513,P000167,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233420Z
VH000113,TN46 LV 2209,P000168,sedan,SYNTHETIC,2026-09-07T05:25:48.233438Z
VH000114,TN49 GB 7959,P000169,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233455Z
VH000115,TN31 UA 5340,P000170,pickup,SYNTHETIC,2026-09-07T05:25:48.233470Z
VH000116,TN62 XL 4747,P000171,SUV,SYNTHETIC,2026-09-07T05:25:48.233487Z
VH000117,TN64 SL 6012,P000172,sedan,SYNTHETIC,2026-09-07T05:25:48.233503Z
VH000118,TN01 HL 6352,P000174,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233519Z
VH000119,TN20 EZ 3098,P000175,lorry,SYNTHETIC,2026-09-07T05:25:48.233536Z
VH000120,TN25 KN 5611,P000176,lorry,SYNTHETIC,2026-09-07T05:25:48.233557Z
VH000121,TN58 FB 3284,P000178,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.233577Z
VH000122,TN25 VL 4602,P000179,truck,SYNTHETIC,2026-09-07T05:25:48.233594Z
VH000123,TN28 PF 6146,P000180,truck,SYNTHETIC,2026-09-07T05:25:48.233610Z
VH000124,TN46 FG 9455,P000184,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233630Z
VH000125,TN51 CH 1764,P000186,SUV,SYNTHETIC,2026-09-07T05:25:48.233647Z
VH000126,TN19 CX 4022,P000188,SUV,SYNTHETIC,2026-09-07T05:25:48.233665Z
VH000127,TN51 DZ 5908,P000189,sedan,SYNTHETIC,2026-09-07T05:25:48.233681Z
VH000128,TN75 TL 1143,P000190,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233698Z
VH000129,TN34 GR 3869,P000193,lorry,SYNTHETIC,2026-09-07T05:25:48.233716Z
VH000130,TN60 FG 2343,P000194,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233733Z
VH000131,TN23 BE 7390,P000195,lorry,SYNTHETIC,2026-09-07T05:25:48.233749Z
VH000132,TN34 VV 1372,P000197,sedan,SYNTHETIC,2026-09-07T05:25:48.233766Z
VH000133,TN25 DG 7603,P000198,truck,SYNTHETIC,2026-09-07T05:25:48.233782Z
VH000134,TN51 YP 1958,P000199,sedan,SYNTHETIC,2026-09-07T05:25:48.233798Z
VH000135,TN31 FZ 4370,P000200,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233814Z
VH000136,TN21 ZA 9473,P000202,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233831Z
VH000137,TN19 KG 1813,P000203,SUV,SYNTHETIC,2026-09-07T05:25:48.233846Z
VH000138,TN47 CW 4392,P000204,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233861Z
VH000139,TN31 UY 1770,P000208,truck,SYNTHETIC,2026-09-07T05:25:48.233879Z
VH000140,TN55 AX 1570,P000209,truck,SYNTHETIC,2026-09-07T05:25:48.233896Z
VH000141,TN46 LT 7254,P000211,motorcycle,SYNTHETIC,2026-09-07T05:25:48.233913Z
VH000142,TN01 HC 3597,P000214,SUV,SYNTHETIC,2026-09-07T05:25:48.233933Z
VH000143,TN69 DP 4774,P000215,sedan,SYNTHETIC,2026-09-07T05:25:48.233950Z
VH000144,TN64 EC 9622,P000218,van,SYNTHETIC,2026-09-07T05:25:48.233966Z
VH000145,TN58 TH 3793,P000222,truck,SYNTHETIC,2026-09-07T05:25:48.233983Z
VH000146,TN34 JZ 4579,P000225,lorry,SYNTHETIC,2026-09-07T05:25:48.233999Z
VH000147,TN30 JA 5758,P000229,sedan,SYNTHETIC,2026-09-07T05:25:48.234016Z
VH000148,TN20 WA 4235,P000237,bus,SYNTHETIC,2026-09-07T05:25:48.234033Z
VH000149,TN49 VT 2116,P000239,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234063Z
VH000150,TN39 CR 5147,P000242,lorry,SYNTHETIC,2026-09-07T05:25:48.234081Z
VH000151,TN60 UH 7091,P000244,truck,SYNTHETIC,2026-09-07T05:25:48.234097Z
VH000152,TN28 GW 9425,P000245,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234113Z
VH000153,TN64 ZP 3247,P000253,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234131Z
VH000154,TN69 FN 4798,P000257,SUV,SYNTHETIC,2026-09-07T05:25:48.234148Z
VH000155,TN43 KH 9972,P000261,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234165Z
VH000156,TN46 JW 9986,P000262,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234180Z
VH000157,TN63 JK 9535,P000277,truck,SYNTHETIC,2026-09-07T05:25:48.234200Z
VH000158,TN55 YD 3452,P000278,bus,SYNTHETIC,2026-09-07T05:25:48.234216Z
VH000159,TN46 WF 9187,P000280,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234232Z
VH000160,TN58 CW 1480,P000281,sedan,SYNTHETIC,2026-09-07T05:25:48.234249Z
VH000161,TN27 VW 1054,P000282,sedan,SYNTHETIC,2026-09-07T05:25:48.234264Z
VH000162,TN28 FP 3715,P000284,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234281Z
VH000163,TN69 ND 3670,P000286,truck,SYNTHETIC,2026-09-07T05:25:48.234303Z
VH000164,TN60 WA 5410,P000290,sedan,SYNTHETIC,2026-09-07T05:25:48.234319Z
VH000165,TN62 HB 6791,P000291,sedan,SYNTHETIC,2026-09-07T05:25:48.234334Z
VH000166,TN46 UW 4292,P000293,sedan,SYNTHETIC,2026-09-07T05:25:48.234351Z
VH000167,TN47 VU 8339,P000294,van,SYNTHETIC,2026-09-07T05:25:48.234366Z
VH000168,TN49 VK 5685,P000297,lorry,SYNTHETIC,2026-09-07T05:25:48.234382Z
VH000169,TN20 XF 7958,P000299,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234398Z
VH000170,TN43 LJ 3518,P000300,sedan,SYNTHETIC,2026-09-07T05:25:48.234414Z
VH000171,TN34 UW 7882,P000301,SUV,SYNTHETIC,2026-09-07T05:25:48.234430Z
VH000172,TN32 KT 9842,P000304,lorry,SYNTHETIC,2026-09-07T05:25:48.234446Z
VH000173,TN50 TA 6046,P000310,lorry,SYNTHETIC,2026-09-07T05:25:48.234465Z
VH000174,TN75 WB 9022,P000317,SUV,SYNTHETIC,2026-09-07T05:25:48.234483Z
VH000175,TN28 KN 4640,P000321,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234501Z
VH000176,TN19 MW 1701,P000328,sedan,SYNTHETIC,2026-09-07T05:25:48.234519Z
VH000177,TN49 HN 2215,P000331,van,SYNTHETIC,2026-09-07T05:25:48.234535Z
VH000178,TN47 JK 6257,P000335,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234552Z
VH000179,TN25 YH 7757,P000339,van,SYNTHETIC,2026-09-07T05:25:48.234569Z
VH000180,TN47 ZJ 4761,P000343,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.234587Z
VH000181,TN62 AN 8539,P000344,SUV,SYNTHETIC,2026-09-07T05:25:48.234603Z
VH000182,TN49 UG 8413,P000345,sedan,SYNTHETIC,2026-09-07T05:25:48.234621Z
VH000183,TN64 RW 8143,P000346,SUV,SYNTHETIC,2026-09-07T05:25:48.234636Z
VH000184,TN23 CP 6182,P000350,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234655Z
VH000185,TN32 JN 1574,P000367,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234677Z
VH000186,TN64 BN 8347,P000368,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234692Z
VH000187,TN62 NE 8953,P000373,truck,SYNTHETIC,2026-09-07T05:25:48.234708Z
VH000188,TN58 BJ 2700,P000374,truck,SYNTHETIC,2026-09-07T05:25:48.234724Z
VH000189,TN23 HX 1055,P000381,truck,SYNTHETIC,2026-09-07T05:25:48.234742Z
VH000190,TN62 FG 9396,P000382,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234758Z
VH000191,TN39 UB 2519,P000385,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234775Z
VH000192,TN20 YP 2758,P000386,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234790Z
VH000193,TN20 NG 3290,P000387,sedan,SYNTHETIC,2026-09-07T05:25:48.234806Z
VH000194,TN25 WF 5908,P000393,van,SYNTHETIC,2026-09-07T05:25:48.234823Z
VH000195,TN46 DT 5701,P000402,van,SYNTHETIC,2026-09-07T05:25:48.234842Z
VH000196,TN34 PR 7949,P000419,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234864Z
VH000197,TN30 MK 1937,P000420,SUV,SYNTHETIC,2026-09-07T05:25:48.234882Z
VH000198,TN62 DC 9143,P000425,pickup,SYNTHETIC,2026-09-07T05:25:48.234899Z
VH000199,TN39 VL 9163,P000427,sedan,SYNTHETIC,2026-09-07T05:25:48.234915Z
VH000200,TN50 AC 1712,P000428,lorry,SYNTHETIC,2026-09-07T05:25:48.234931Z
VH000201,TN25 TS 5612,P000439,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234950Z
VH000202,TN20 FD 4314,P000440,sedan,SYNTHETIC,2026-09-07T05:25:48.234969Z
VH000203,TN64 GZ 8997,P000442,motorcycle,SYNTHETIC,2026-09-07T05:25:48.234985Z
VH000204,TN75 KP 7782,P000443,sedan,SYNTHETIC,2026-09-07T05:25:48.235001Z
VH000205,TN55 HB 7388,P000445,sedan,SYNTHETIC,2026-09-07T05:25:48.235020Z
VH000206,TN23 VA 9585,P000455,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235040Z
VH000207,TN75 VE 4349,P000457,truck,SYNTHETIC,2026-09-07T05:25:48.235056Z
VH000208,TN43 UZ 7098,P000473,bus,SYNTHETIC,2026-09-07T05:25:48.235076Z
VH000209,TN31 MM 9188,P000479,sedan,SYNTHETIC,2026-09-07T05:25:48.235093Z
VH000210,TN46 RN 2566,P000508,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235117Z
VH000211,TN39 TM 3195,P000519,SUV,SYNTHETIC,2026-09-07T05:25:48.235137Z
VH000212,TN31 PT 4906,P000520,truck,SYNTHETIC,2026-09-07T05:25:48.235152Z
VH000213,TN28 KG 7589,P000523,truck,SYNTHETIC,2026-09-07T05:25:48.235168Z
VH000214,TN19 HU 5231,P000528,truck,SYNTHETIC,2026-09-07T05:25:48.235185Z
VH000215,TN21 MD 3058,P000529,SUV,SYNTHETIC,2026-09-07T05:25:48.235200Z
VH000216,TN27 EP 6268,P000538,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235218Z
VH000217,TN51 UL 2586,P000542,sedan,SYNTHETIC,2026-09-07T05:25:48.235234Z
VH000218,TN43 YS 6533,P000543,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235250Z
VH000219,TN20 FE 4716,P000546,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235266Z
VH000220,TN58 LW 4831,P000553,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235284Z
VH000221,TN19 XC 4241,P000555,van,SYNTHETIC,2026-09-07T05:25:48.235304Z
VH000222,TN63 NP 2743,P000558,sedan,SYNTHETIC,2026-09-07T05:25:48.235321Z
VH000223,TN25 AL 2409,P000565,van,SYNTHETIC,2026-09-07T05:25:48.235339Z
VH000224,TN23 FE 9296,P000570,SUV,SYNTHETIC,2026-09-07T05:25:48.235356Z
VH000225,TN39 VL 7688,P000571,SUV,SYNTHETIC,2026-09-07T05:25:48.235372Z
VH000226,TN62 NE 6317,P000574,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235388Z
VH000227,TN23 JK 1001,P000575,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235407Z
VH000228,TN01 JC 8318,P000577,motorcycle,SYNTHETIC,2026-09-07T05:25:48.235423Z
VH000229,TN64 WY 3031,P000582,SUV,SYNTHETIC,2026-09-07T05:25:48.235439Z
VH000230,TN20 DZ 4029,P000583,SUV,SYNTHETIC,2026-09-07T05:25:48.235455Z
VH000231,TN51 ZK 9224,P000588,pickup,SYNTHETIC,2026-09-07T05:25:48.235473Z
VH000232,TN49 UY 6499,P000609,SUV,SYNTHETIC,2026-09-07T05:25:48.235496Z
VH000233,TN58 DB 3247,P000615,autorickshaw,SYNTHETIC,2026-09-07T05:25:48.235513Z
VH000234,TN50 NV 7644,P000621,sedan,SYNTHETIC,2026-09-07T05:25:48.235531Z
VH000235,KA01AB1234,P000627,car,SYNTHETIC,2026-09-07T05:25:48.258051Z
