id,location_id,person_id,vehicle_id,observed_at,notes,data_source
SR000123,LOC000011,P000444,,2025-11-06T13:31:28Z,Vehicle sighting captured by ANPR at Peelamedu Harbour Gate,SYNTHETIC
SR000124,LOC000007,P000216,,2025-06-24T10:06:17Z,Subject used phone while parked near Muthialpet Check Post,SYNTHETIC
SR000125,LOC000039,P000591,VH000161,2024-04-16T17:25:12Z,Vehicle TN27 VW 1054 (sedan) recorded entering Thirunagar Industrial Estate,SYNTHETIC
SR000126,LOC000025,P000277,VH000157,2024-11-19T10:54:01Z,Routine patrol log entry - Anna Nagar Check Post,SYNTHETIC
SR000127,LOC000050,P000332,,2024-01-12T10:05:13Z,CCTV frame captured at Ganapathy Bus Terminus toll plaza,SYNTHETIC
SR000128,LOC000015,P000203,,2025-10-24T21:43:11Z,CCTV frame captured at Valluvar Layout Night Bazaar toll plaza,SYNTHETIC
SR000129,LOC000059,P000450,,2026-06-10T14:03:00Z,Routine patrol log entry - RS Puram Agro Market,SYNTHETIC
SR000130,LOC000013,P000402,VH000195,2025-10-18T04:27:13Z,Vehicle TN46 DT 5701 (van) recorded entering Bharathi Bazaar Wholesale Market,SYNTHETIC
SR000131,LOC000055,P000284,,2025-05-14T09:10:19Z,Subject met unidentified associate at Kuruvikulam Construction Site,SYNTHETIC
SR000132,LOC000046,P000532,,2024-05-05T18:13:57Z,Vehicle sighting captured by ANPR at Royapuram Fuel Station,SYNTHETIC
SR000133,LOC000012,P000031,VH000021,2026-03-03T04:10:44Z,CCTV frame captured at KK Nagar Night Bazaar toll plaza,SYNTHETIC
SR000134,LOC000035,P000041,VH000028,2025-09-21T14:31:16Z,CCTV frame captured at Arumbakkam Godown Compound toll plaza,SYNTHETIC
SR000135,LOC000040,P000246,,2024-08-25T16:09:14Z,Vehicle sighting captured by ANPR at Gandhipuram Textile Mill,SYNTHETIC
SR000136,LOC000030,P000007,,2024-12-22T05:20:11Z,Subject met unidentified associate at Ganapathy Junction,SYNTHETIC
SR000137,LOC000040,P000489,,2026-06-19T09:17:07Z,Routine patrol log entry - Gandhipuram Textile Mill,SYNTHETIC
SR000138,LOC000042,P000502,,2026-07-26T00:43:54Z,Vehicle sighting captured by ANPR at Chromepet Agro Market,SYNTHETIC
SR000139,LOC000055,P000116,VH000078,2024-03-02T07:09:45Z,Routine patrol log entry - Kuruvikulam Construction Site,SYNTHETIC
SR000140,LOC000054,P000545,,2024-03-11T19:49:38Z,Vehicle sighting captured by ANPR at Kallamadu Agro Market,SYNTHETIC
SR000141,LOC000054,P000387,VH000193,2026-05-05T05:08:05Z,Subject observed on foot near Kallamadu Agro Market,SYNTHETIC
SR000142,LOC000059,P000307,,2026-05-07T00:25:36Z,Subject used phone while parked near RS Puram Agro Market,SYNTHETIC
SR000143,LOC000061,P000320,,2025-07-12T05:11:34Z,Vehicle sighting captured by ANPR at Central Market Junction,SYNTHETIC
SR000144,LOC000016,P000408,,2024-10-25T08:51:32Z,Vehicle sighting captured by ANPR at Ukkadam Harbour Police Station,SYNTHETIC
SR000145,LOC000031,P000559,,2024-08-08T03:04:40Z,Routine patrol log entry - Peelamedu Textile Mill,SYNTHETIC
SR000146,LOC000055,P000489,VH000133,2024-12-16T19:58:00Z,Subject observed on foot near Kuruvikulam Construction Site,SYNTHETIC
SR000147,LOC000024,P000345,,2025-12-25T13:44:26Z,Subject observed on foot near Palladam Check Post,SYNTHETIC
SR000148,LOC000014,P000228,,2026-03-30T23:19:19Z,Subject used phone while parked near Estancia Bridge End,SYNTHETIC
SR000149,LOC000058,P000073,,2025-11-02T00:48:37Z,CCTV frame captured at Anna Nagar Lorry Park toll plaza,SYNTHETIC
SR000150,LOC000036,P000110,,2026-01-09T02:16:21Z,CCTV frame captured at Pothigai Nagar Oil Depot toll plaza,SYNTHETIC
SR000151,LOC000005,P000027,VH000017,2025-04-24T20:31:38Z,Vehicle TN25 MB 7551 (sedan) recorded entering Kajamalai Junction,SYNTHETIC
SR000152,LOC000016,P000401,,2025-03-10T06:03:29Z,Routine patrol log entry - Ukkadam Harbour Police Station,SYNTHETIC
SR000153,LOC000024,P000243,,2024-09-30T04:30:19Z,Subject observed on foot near Palladam Check Post,SYNTHETIC
SR000154,LOC000034,P000523,VH000213,2024-02-04T13:31:20Z,Subject observed on foot near Mattuthavani Junction,SYNTHETIC
SR000155,LOC000014,P000216,,2024-05-05T06:23:41Z,Vehicle sighting captured by ANPR at Estancia Bridge End,SYNTHETIC
SR000156,LOC000009,P000447,,2025-08-11T02:27:14Z,CCTV frame captured at Chokkanadar Pettai Oil Depot toll plaza,SYNTHETIC
SR000157,LOC000036,P000235,,2024-01-24T15:45:44Z,Subject used phone while parked near Pothigai Nagar Oil Depot,SYNTHETIC
SR000158,LOC000043,P000496,,2025-08-09T20:50:53Z,Subject met unidentified associate at Sowdambika Layout Night Bazaar,SYNTHETIC
SR000159,LOC000029,P000126,,2026-06-01T04:59:16Z,Subject met unidentified associate at Estancia Fuel Station,SYNTHETIC
SR000160,LOC000035,P000447,,2025-10-13T23:53:00Z,CCTV frame captured at Arumbakkam Godown Compound toll plaza,SYNTHETIC
SR000161,LOC000027,P000525,,2026-08-22T05:31:30Z,Vehicle sighting captured by ANPR at Mettupalayam Cold Storage,SYNTHETIC
SR000162,LOC000019,P000199,VH000134,2024-01-03T23:35:32Z,Subject met unidentified associate at Meenakshi Nagar Agro Market,SYNTHETIC
SR000163,LOC000008,P000538,,2026-02-28T22:12:40Z,CCTV frame captured at Ambattur Warehouse Complex toll plaza,SYNTHETIC
SR000164,LOC000033,P000035,,2026-05-08T12:23:01Z,Subject observed on foot near Ukkadam Toll Plaza,SYNTHETIC
SR000165,LOC000034,P000091,,2024-02-04T10:21:37Z,Vehicle sighting captured by ANPR at Mattuthavani Junction,SYNTHETIC
SR000166,LOC000021,P000230,,2026-01-25T04:50:44Z,Vehicle sighting captured by ANPR at Valluvar Layout Harbour Gate,SYNTHETIC
SR000167,LOC000017,P000539,,2025-06-03T10:13:14Z,Vehicle sighting captured by ANPR at Egmore Cold Storage,SYNTHETIC
SR000168,LOC000050,P000179,VH000122,2025-09-14T23:11:05Z,CCTV frame captured at Ganapathy Bus Terminus toll plaza,SYNTHETIC
SR000169,LOC000005,P000192,,2024-07-17T13:31:54Z,Routine patrol log entry - Kajamalai Junction,SYNTHETIC
SR000170,LOC000021,P000479,VH000209,2024-09-06T09:15:07Z,Routine patrol log entry - Valluvar Layout Harbour Gate,SYNTHETIC
SR000171,LOC000052,P000478,,2024-01-08T11:32:53Z,Subject used phone while parked near Coimbatore Junction Construction Site,SYNTHETIC
SR000172,LOC000003,P000477,,2024-07-17T15:45:04Z,Subject used phone while parked near Thirunagar Cold Storage,SYNTHETIC
SR000173,LOC000046,P000196,,2024-07-25T20:25:50Z,CCTV frame captured at Royapuram Fuel Station toll plaza,SYNTHETIC
SR000174,LOC000026,P000129,VH000086,2024-07-28T15:38:42Z,Vehicle sighting captured by ANPR at Kajamalai Industrial Estate,SYNTHETIC
SR000175,LOC000030,P000533,,2026-05-16T04:17:26Z,CCTV frame captured at Ganapathy Junction toll plaza,SYNTHETIC
SR000176,LOC000014,P000079,VH000052,2025-09-18T05:51:01Z,Routine patrol log entry - Estancia Bridge End,SYNTHETIC
SR000177,LOC000050,P000405,,2024-01-04T21:29:27Z,Subject observed on foot near Ganapathy Bus Terminus,SYNTHETIC
SR000178,LOC000052,P000170,VH000115,2026-06-22T13:45:09Z,Routine patrol log entry - Coimbatore Junction Construction Site,SYNTHETIC
SR000179,LOC000045,P000163,,2024-10-21T17:21:22Z,CCTV frame captured at Pothigai Nagar Toll Plaza toll plaza,SYNTHETIC
SR000180,LOC000040,P000023,,2025-09-04T07:12:07Z,Subject observed on foot near Gandhipuram Textile Mill,SYNTHETIC
SR000181,LOC000009,P000363,,2026-01-07T17:40:53Z,Subject met unidentified associate at Chokkanadar Pettai Oil Depot,SYNTHETIC
SR000182,LOC000011,P000426,,2024-12-28T15:35:04Z,CCTV frame captured at Peelamedu Harbour Gate toll plaza,SYNTHETIC
SR000183,LOC000044,P000622,,2026-02-22T00:23:55Z,Routine patrol log entry - Sulur Check Post,SYNTHETIC
SR000184,LOC000039,P000249,,2025-06-11T17:10:32Z,Subject observed on foot near Thirunagar Industrial Estate,SYNTHETIC
SR000185,LOC000038,P000231,,2024-09-24T01:11:46Z,Subject used phone while parked near Tambaram Toll Plaza,SYNTHETIC
SR000186,LOC000022,P000257,,2024-07-30T08:13:03Z,Subject met unidentified associate at Nellithope Cold Storage,SYNTHETIC
SR000187,LOC000028,P000554,,2026-02-22T14:12:06Z,CCTV frame captured at Ganapathy Mandi toll plaza,SYNTHETIC
SR000188,LOC000020,P000170,,2024-05-13T07:29:02Z,Subject used phone while parked near Mylapore City Police Station,SYNTHETIC
SR000189,LOC000030,P000157,VH000196,2024-03-02T15:36:13Z,Subject used phone while parked near Ganapathy Junction,SYNTHETIC
SR000190,LOC000059,P000022,VH000036,2024-04-25T11:41:15Z,Vehicle sighting captured by ANPR at RS Puram Agro Market,SYNTHETIC
SR000191,LOC000008,P000526,,2025-09-11T16:18:38Z,Subject used phone while parked near Ambattur Warehouse Complex,SYNTHETIC
SR000192,LOC000019,P000364,,2026-04-12T14:17:04Z,CCTV frame captured at Meenakshi Nagar Agro Market toll plaza,SYNTHETIC
SR000193,LOC000026,P000307,,2024-05-17T09:48:38Z,Subject used phone while parked near Kajamalai Industrial Estate,SYNTHETIC
SR000194,LOC000045,P000064,VH000006,2025-03-30T23:42:30Z,Subject met unidentified associate at Pothigai Nagar Toll Plaza,SYNTHETIC
SR000195,LOC000012,P000318,VH000187,2025-09-18T23:59:17Z,Subject met unidentified associate at KK Nagar Night Bazaar,SYNTHETIC
SR000196,LOC000052,P000197,,2025-02-20T04:37:53Z,Subject observed on foot near Coimbatore Junction Construction Site,SYNTHETIC
SR000197,LOC000030,P000378,,2024-04-04T19:23:45Z,Vehicle sighting captured by ANPR at Ganapathy Junction,SYNTHETIC
SR000198,LOC000041,P000103,VH000222,2024-03-13T08:51:59Z,Subject used phone while parked near Vilachery Cold Storage,SYNTHETIC
SR000199,LOC000035,P000362,,2026-08-25T05:22:54Z,CCTV frame captured at Arumbakkam Godown Compound toll plaza,SYNTHETIC
SR000200,LOC000021,P000176,,2024-01-17T11:16:22Z,Subject met unidentified associate at Valluvar Layout Harbour Gate,SYNTHETIC
SR000201,LOC000051,P000370,VH000196,2025-09-15T08:06:49Z,Routine patrol log entry - Chokkanadar Pettai Outer Ring Road,SYNTHETIC
SR000202,LOC000030,P000057,VH000037,2024-11-19T06:00:50Z,Subject used phone while parked near Ganapathy Junction,SYNTHETIC
SR000203,LOC000040,P000284,VH000162,2025-08-16T23:40:40Z,CCTV frame captured at Gandhipuram Textile Mill toll plaza,SYNTHETIC
SR000204,LOC000002,P000107,VH000072,2024-06-19T13:38:43Z,Vehicle sighting captured by ANPR at Velachery Oil Depot,SYNTHETIC
SR000205,LOC000009,P000252,,2026-08-15T02:26:24Z,Subject used phone while parked near Chokkanadar Pettai Oil Depot,SYNTHETIC
SR000206,LOC000058,P000508,,2024-09-24T13:59:56Z,Vehicle sighting captured by ANPR at Anna Nagar Lorry Park,SYNTHETIC
SR000207,LOC000035,P000098,VH000066,2024-07-25T14:58:32Z,Vehicle TN58 YJ 4817 (sedan) recorded entering Arumbakkam Godown Compound,SYNTHETIC
SR000208,LOC000019,P000038,,2024-06-28T15:45:49Z,Subject met unidentified associate at Meenakshi Nagar Agro Market,SYNTHETIC
